"Step","SAC_single_critic_short_test_track_pixel - return_train","SAC_single_critic_short_test_track_pixel - return_train__MIN","SAC_single_critic_short_test_track_pixel - return_train__MAX"
"127","14.7399997972","14.7399997972","14.7399997972"
"128","14.7399997972","14.7399997972","14.7399997972"
"129","11.9999997448","11.9999997448","11.9999997448"
"130","11.9999997448","11.9999997448","11.9999997448"
"131","31.7699997593","31.7699997593","31.7699997593"
"132","15.3399998024","15.3399998024","15.3399998024"
"133","17.5499999132","17.5499999132","17.5499999132"
"134","17.5499999132","17.5499999132","17.5499999132"
"135","16.7599996906","16.7599996906","16.7599996906"
"136","3.1999999471","3.1999999471","3.1999999471"
"137","3.1999999471","3.1999999471","3.1999999471"
"138","15.4399997517","15.4399997517","15.4399997517"
"139","15.4399997517","15.4399997517","15.4399997517"
"140","30.9699995704","30.9699995704","30.9699995704"
"141","30.9699995704","30.9699995704","30.9699995704"
"142","16.1699997671","16.1699997671","16.1699997671"
"143","16.32999973","16.32999973","16.32999973"
"144","16.32999973","16.32999973","16.32999973"
"145","16.32999973","16.32999973","16.32999973"
"146","27.5699995998","27.5699995998","27.5699995998"
"147","16.1499998253","16.1499998253","16.1499998253"
"148","16.1499998253","16.1499998253","16.1499998253"
"149","16.1499998253","16.1499998253","16.1499998253"
"150","43.9899997599","43.9899997599","43.9899997599"
"151","16.3299997617","16.3299997617","16.3299997617"
"152","16.3299997617","16.3299997617","16.3299997617"
"153","21.6599997487","21.6599997487","21.6599997487"
"154","21.6599997487","21.6599997487","21.6599997487"
"155","35.2199995816","35.2199995816","35.2199995816"
"156","35.2199995816","35.2199995816","35.2199995816"
"157","35.2199995816","35.2199995816","35.2199995816"
"158","36.4399996325","36.4399996325","36.4399996325"
"159","13.6199997552","13.6199997552","13.6199997552"
"160","13.6199997552","13.6199997552","13.6199997552"
"161","13.6199997552","13.6199997552","13.6199997552"
"162","47.5899996348","47.5899996348","47.5899996348"
"163","17.8399999514","17.8399999514","17.8399999514"
"164","15.3099998031","15.3099998031","15.3099998031"
"165","2.149999965","2.149999965","2.149999965"
"166","16.3299999088","16.3299999088","16.3299999088"
"167","16.3299999088","16.3299999088","16.3299999088"
"168","17.3499998245","17.3499998245","17.3499998245"
"169","16.4799997881","16.4799997881","16.4799997881"
"170","16.4799997881","16.4799997881","16.4799997881"
"171","31.2499996815","31.2499996815","31.2499996815"
"172","31.2499996815","31.2499996815","31.2499996815"
"173","31.2499996815","31.2499996815","31.2499996815"
"174","41.8399995789","41.8399995789","41.8399995789"
"175","41.8399995789","41.8399995789","41.8399995789"
"176","39.1199995615","39.1199995615","39.1199995615"
"177","39.1199995615","39.1199995615","39.1199995615"
"178","31.4099996835","31.4099996835","31.4099996835"
"179","31.4099996835","31.4099996835","31.4099996835"
"180","30.7099998202","30.7099998202","30.7099998202"
"181","30.7099998202","30.7099998202","30.7099998202"
"182","31.1199997924","31.1199997924","31.1199997924"
"183","10.4999998938","10.4999998938","10.4999998938"
"184","10.4999998938","10.4999998938","10.4999998938"
"185","37.1699996814","37.1699996814","37.1699996814"
"186","37.1699996814","37.1699996814","37.1699996814"
"187","29.3999998104","29.3999998104","29.3999998104"
"188","29.3999998104","29.3999998104","29.3999998104"
"189","42.3799996171","42.3799996171","42.3799996171"
"190","42.3799996171","42.3799996171","42.3799996171"
"191","28.6899997573","28.6899997573","28.6899997573"
"192","28.4499997757","28.4499997757","28.4499997757"
"193","28.4499997757","28.4499997757","28.4499997757"
"194","27.0199999791","27.0199999791","27.0199999791"
"195","27.0199999791","27.0199999791","27.0199999791"
"196","148.1999963317","148.1999963317","148.1999963317"
"197","148.1999963317","148.1999963317","148.1999963317"
"198","148.1999963317","148.1999963317","148.1999963317"
"199","148.279999489","148.279999489","148.279999489"
"200","148.279999489","148.279999489","148.279999489"
"201","30.2299997713","30.2299997713","30.2299997713"
"202","30.2299997713","30.2299997713","30.2299997713"
"203","36.7999995705","36.7999995705","36.7999995705"
"204","36.7999995705","36.7999995705","36.7999995705"
"205","30.4199997913","30.4199997913","30.4199997913"
"206","30.4199997913","30.4199997913","30.4199997913"
"207","28.4799997322","28.4799997322","28.4799997322"
"208","10.7599999178","10.7599999178","10.7599999178"
"209","29.6999997478","29.6999997478","29.6999997478"
"210","29.6999997478","29.6999997478","29.6999997478"
"211","29.6999997478","29.6999997478","29.6999997478"
"212","2.8599999603","2.8599999603","2.8599999603"
"213","2.8599999603","2.8599999603","2.8599999603"
"214","25.5199996755","25.5199996755","25.5199996755"
"215","25.5199996755","25.5199996755","25.5199996755"
"216","25.5199996755","25.5199996755","25.5199996755"
"217","33.849999601","33.849999601","33.849999601"
"218","33.849999601","33.849999601","33.849999601"
"219","148.2299993597","148.2299993597","148.2299993597"
"220","6.9599999245","6.9599999245","6.9599999245"
"221","6.9599999245","6.9599999245","6.9599999245"
"222","42.7599997967","42.7599997967","42.7599997967"
"223","42.7599997967","42.7599997967","42.7599997967"
"224","26.5299998261","26.5299998261","26.5299998261"
"225","26.5299998261","26.5299998261","26.5299998261"
"226","13.8599997852","13.8599997852","13.8599997852"
"227","3.519999966","3.519999966","3.519999966"
"228","3.5499999747","3.5499999747","3.5499999747"
"229","2.419999972","2.419999972","2.419999972"
"230","1.3599999808","1.3599999808","1.3599999808"
"231","7.009999916","7.009999916","7.009999916"
"232","7.0299999546","7.0299999546","7.0299999546"
"233","12.2899998389","12.2899998389","12.2899998389"
"234","9.8099998906","9.8099998906","9.8099998906"
"235","9.8099998906","9.8099998906","9.8099998906"
"236","9.8099998906","9.8099998906","9.8099998906"
"237","43.4399996269","43.4399996269","43.4399996269"
"238","6.9499999676","6.9499999676","6.9499999676"
"239","5.0499999542","5.0499999542","5.0499999542"
"240","5.0499999542","5.0499999542","5.0499999542"
"241","31.4299998153","31.4299998153","31.4299998153"
"242","31.4299998153","31.4299998153","31.4299998153"
"243","35.6299995948","35.6299995948","35.6299995948"
"244","2.7199999951","2.7199999951","2.7199999951"
"245","5.9999999423","5.9999999423","5.9999999423"
"246","12.7399999443","12.7399999443","12.7399999443"
"247","5.4699999038","5.4699999038","5.4699999038"
"248","2.4499999769","2.4499999769","2.4499999769"
"249","2.4499999769","2.4499999769","2.4499999769"
"250","2.4499999769","2.4499999769","2.4499999769"
"251","37.109999612","37.109999612","37.109999612"
"252","6.2899999432","6.2899999432","6.2899999432"
"253","19.0099998917","19.0099998917","19.0099998917"
"254","6.36999988","6.36999988","6.36999988"
"255","11.9899998605","11.9899998605","11.9899998605"
"256","6.7299998943","6.7299998943","6.7299998943"
"257","6.7299998943","6.7299998943","6.7299998943"
"258","148.2799972985","148.2799972985","148.2799972985"
"259","148.2799972985","148.2799972985","148.2799972985"
"260","2.2599999718","2.2599999718","2.2599999718"
"261","11.5899998955","11.5899998955","11.5899998955"
"262","11.5899998955","11.5899998955","11.5899998955"
"263","12.7999998275","12.7999998275","12.7999998275"
"264","25.6599997729","25.6599997729","25.6599997729"
"265","25.6599997729","25.6599997729","25.6599997729"
"266","25.6599997729","25.6599997729","25.6599997729"
"267","8.6799998861","8.6799998861","8.6799998861"
"268","8.6799998861","8.6799998861","8.6799998861"
"269","8.6799998861","8.6799998861","8.6799998861"
"270","34.8199996762","34.8199996762","34.8199996762"
"271","23.42999986","23.42999986","23.42999986"
"272","23.42999986","23.42999986","23.42999986"
"273","23.42999986","23.42999986","23.42999986"
"274","148.2499972992","148.2499972992","148.2499972992"
"275","148.2499972992","148.2499972992","148.2499972992"
"276","148.2099995688","148.2099995688","148.2099995688"
"277","148.2099995688","148.2099995688","148.2099995688"
"278","148.2899972554","148.2899972554","148.2899972554"
"279","148.2899972554","148.2899972554","148.2899972554"
"280","35.459999701","35.459999701","35.459999701"
"281","19.7599999253","19.7599999253","19.7599999253"
"282","19.7599999253","19.7599999253","19.7599999253"
"283","148.1899995022","148.1899995022","148.1899995022"
"284","148.1899995022","148.1899995022","148.1899995022"
"285","148.2899973914","148.2899973914","148.2899973914"
"286","9.5499999654","9.5499999654","9.5499999654"
"287","6.3499999326","6.3499999326","6.3499999326"
"288","6.3499999326","6.3499999326","6.3499999326"
"289","6.3499999326","6.3499999326","6.3499999326"
"290","43.8699997198","43.8699997198","43.8699997198"
"291","43.8699997198","43.8699997198","43.8699997198"
"292","148.2899997756","148.2899997756","148.2899997756"
"293","148.2899997756","148.2899997756","148.2899997756"
"294","148.2899997756","148.2899997756","148.2899997756"
"295","37.729999572","37.729999572","37.729999572"
"296","37.729999572","37.729999572","37.729999572"
"297","46.9499996696","46.9499996696","46.9499996696"
"298","2.9699999765","2.9699999765","2.9699999765"
"299","14.5299998578","14.5299998578","14.5299998578"
"300","14.5299998578","14.5299998578","14.5299998578"
"301","148.2899998128","148.2899998128","148.2899998128"
"302","148.2899998128","148.2899998128","148.2899998128"
"303","44.9899996351","44.9899996351","44.9899996351"
"304","44.9899996351","44.9899996351","44.9899996351"
"305","148.2499994934","148.2499994934","148.2499994934"
"306","148.2499994934","148.2499994934","148.2499994934"
"307","30.6299998388","30.6299998388","30.6299998388"
"308","30.6299998388","30.6299998388","30.6299998388"
"309","148.2299981657","148.2299981657","148.2299981657"
"310","148.2299981657","148.2299981657","148.2299981657"
"311","148.2899997197","148.2899997197","148.2899997197"
"312","13.2399999779","13.2399999779","13.2399999779"
"313","13.2399999779","13.2399999779","13.2399999779"
"314","148.2099994496","148.2099994496","148.2099994496"
"315","148.2099994496","148.2099994496","148.2099994496"
"316","2.379999971","2.379999971","2.379999971"
"317","27.479999939","27.479999939","27.479999939"
"318","27.479999939","27.479999939","27.479999939"
"319","27.479999939","27.479999939","27.479999939"
"320","148.2899960503","148.2899960503","148.2899960503"
"321","148.2899960503","148.2899960503","148.2899960503"
"322","148.2200017162","148.2200017162","148.2200017162"
"323","148.2200017162","148.2200017162","148.2200017162"
"324","148.2100016288","148.2100016288","148.2100016288"
"325","148.2100016288","148.2100016288","148.2100016288"
"326","14.8499999568","14.8499999568","14.8499999568"
"327","6.4199999422","6.4199999422","6.4199999422"
"328","28.2000000291","28.2000000291","28.2000000291"
"329","27.8899999075","27.8899999075","27.8899999075"
"330","27.8899999075","27.8899999075","27.8899999075"
"331","148.2699983399","148.2699983399","148.2699983399"
"332","27.7699998692","27.7699998692","27.7699998692"
"333","26.3799999095","26.3799999095","26.3799999095"
"334","26.3799999095","26.3799999095","26.3799999095"
"335","26.3799999095","26.3799999095","26.3799999095"
"336","148.2200028468","148.2200028468","148.2200028468"
"337","23.5999997929","23.5999997929","23.5999997929"
"338","28.6300000437","28.6300000437","28.6300000437"
"339","28.3299998678","28.3299998678","28.3299998678"
"340","28.3299998678","28.3299998678","28.3299998678"
"341","28.3299998678","28.3299998678","28.3299998678"
"342","148.2599961106","148.2599961106","148.2599961106"
"343","29.2499999348","29.2499999348","29.2499999348"
"344","29.2499999348","29.2499999348","29.2499999348"
"345","148.2399983983","148.2399983983","148.2399983983"
"346","27.8799998667","27.8799998667","27.8799998667"
"347","6.2999999635","6.2999999635","6.2999999635"
"348","6.2999999635","6.2999999635","6.2999999635"
"349","28.3499998879","28.3499998879","28.3499998879"
"350","28.5499999635","28.5499999635","28.5499999635"
"351","27.5199998356","27.5199998356","27.5199998356"
"352","27.5199998356","27.5199998356","27.5199998356"
"353","28.249999892","28.249999892","28.249999892"
"354","26.3799999356","26.3799999356","26.3799999356"
"355","28.3999999855","28.3999999855","28.3999999855"
"356","18.9899998512","18.9899998512","18.9899998512"
"357","10.0299999807","10.0299999807","10.0299999807"
"358","25.5999999326","25.5999999326","25.5999999326"
"359","28.1099998951","28.1099998951","28.1099998951"
"360","28.1099998951","28.1099998951","28.1099998951"
"361","2.3399999589","2.3399999589","2.3399999589"
"362","17.6699999049","17.6699999049","17.6699999049"
"363","17.6699999049","17.6699999049","17.6699999049"
"364","148.2499983814","148.2499983814","148.2499983814"
"365","29.579999797","29.579999797","29.579999797"
"366","29.579999797","29.579999797","29.579999797"
"367","29.579999797","29.579999797","29.579999797"
"368","148.2500015665","148.2500015665","148.2500015665"
"369","30.3999999445","30.3999999445","30.3999999445"
"370","30.3999999445","30.3999999445","30.3999999445"
"371","148.239996139","148.239996139","148.239996139"
"372","9.9199999701","9.9199999701","9.9199999701"
"373","9.9199999701","9.9199999701","9.9199999701"
"374","148.1899961755","148.1899961755","148.1899961755"
"375","7.4199999832","7.4199999832","7.4199999832"
"376","7.4199999832","7.4199999832","7.4199999832"
"377","38.7399998493","38.7399998493","38.7399998493"
"378","38.7399998493","38.7399998493","38.7399998493"
"379","37.7199997883","37.7199997883","37.7199997883"
"380","13.2799998727","13.2799998727","13.2799998727"
"381","16.5799999721","16.5799999721","16.5799999721"
"382","8.9799999632","8.9799999632","8.9799999632"
"383","34.8899998255","34.8899998255","34.8899998255"
"384","10.2599999011","10.2599999011","10.2599999011"
"385","10.2599999011","10.2599999011","10.2599999011"
"386","148.2899999432","148.2899999432","148.2899999432"
"387","148.2899999432","148.2899999432","148.2899999432"
"388","5.1199999396","5.1199999396","5.1199999396"
"389","6.799999956","6.799999956","6.799999956"
"390","6.799999956","6.799999956","6.799999956"
"391","37.2699999157","37.2699999157","37.2699999157"
"392","37.2699999157","37.2699999157","37.2699999157"
"393","41.1799999326","41.1799999326","41.1799999326"
"394","39.3099998757","39.3099998757","39.3099998757"
"395","10.9199999105","10.9199999105","10.9199999105"
"396","10.4299999047","10.4299999047","10.4299999047"
"397","9.8299999367","9.8299999367","9.8299999367"
"398","12.2899999786","12.2899999786","12.2899999786"
"399","10.5699999444","10.5699999444","10.5699999444"
"400","10.94000002","10.94000002","10.94000002"
"401","10.8099999242","10.8099999242","10.8099999242"
"402","10.4599999767","10.4599999767","10.4599999767"
"403","10.4599999767","10.4599999767","10.4599999767"
"404","7.7599999774","7.7599999774","7.7599999774"
"405","10.5799999088","10.5799999088","10.5799999088"
"406","11.9499998577","11.9499998577","11.9499998577"
"407","10.8099999242","10.8099999242","10.8099999242"
"408","10.8099999242","10.8099999242","10.8099999242"
"409","32.1899997965","32.1899997965","32.1899997965"
"410","9.0099998955","9.0099998955","9.0099998955"
"411","32.8399998415","32.8399998415","32.8399998415"
"412","32.8399998415","32.8399998415","32.8399998415"
"413","9.7799999993","9.7799999993","9.7799999993"
"414","10.2799999639","10.2799999639","10.2799999639"
"415","7.2499999665","7.2499999665","7.2499999665"
"416","29.9399997853","29.9399997853","29.9399997853"
"417","9.4199999664","9.4199999664","9.4199999664"
"418","9.4199999664","9.4199999664","9.4199999664"
"419","27.4799998607","27.4799998607","27.4799998607"
"420","27.4799998607","27.4799998607","27.4799998607"
"421","148.2000017036","148.2000017036","148.2000017036"
"422","29.7099999618","29.7099999618","29.7099999618"
"423","6.709999999","6.709999999","6.709999999"
"424","6.709999999","6.709999999","6.709999999"
"425","7.7699999642","7.7699999642","7.7699999642"
"426","7.7699999642","7.7699999642","7.7699999642"
"427","148.290000774","148.290000774","148.290000774"
"428","9.599999981","9.599999981","9.599999981"
"429","9.599999981","9.599999981","9.599999981"
"430","8.2999999505","8.2999999505","8.2999999505"
"431","8.6099999659","8.6099999659","8.6099999659"
"432","28.7499999925","28.7499999925","28.7499999925"
"433","7.3199999817","7.3199999817","7.3199999817"
"434","29.0799999069","29.0799999069","29.0799999069"
"435","29.0799999069","29.0799999069","29.0799999069"
"436","148.2900014482","148.2900014482","148.2900014482"
"437","6.6899999734","6.6899999734","6.6899999734"
"438","148.2700035442","148.2700035442","148.2700035442"
"439","148.2700035442","148.2700035442","148.2700035442"
"440","148.2700035442","148.2700035442","148.2700035442"
"441","148.2899992522","148.2899992522","148.2899992522"
"442","148.2899992522","148.2899992522","148.2899992522"
"443","10.0699999947","10.0699999947","10.0699999947"
"444","9.2299999464","9.2299999464","9.2299999464"
"445","28.8899998907","28.8899998907","28.8899998907"
"446","7.4799999837","7.4799999837","7.4799999837"
"447","9.72999998","9.72999998","9.72999998"
"448","9.72999998","9.72999998","9.72999998"
"449","8.9499999899","8.9499999899","8.9499999899"
"450","22.7599998657","22.7599998657","22.7599998657"
"451","22.7599998657","22.7599998657","22.7599998657"
"452","29.1199998651","29.1199998651","29.1199998651"
"453","29.2299999092","29.2299999092","29.2299999092"
"454","11.2099999897","11.2099999897","11.2099999897"
"455","20.9699999541","20.9699999541","20.9699999541"
"456","20.9699999541","20.9699999541","20.9699999541"
"457","148.2599983886","148.2599983886","148.2599983886"
"458","148.2599983886","148.2599983886","148.2599983886"
"459","29.1399998832","29.1399998832","29.1399998832"
"460","148.2900005151","148.2900005151","148.2900005151"
"461","10.3699999619","10.3699999619","10.3699999619"
"462","28.3099999428","28.3099999428","28.3099999428"
"463","23.8099999074","23.8099999074","23.8099999074"
"464","9.4599999916","9.4599999916","9.4599999916"
"465","8.489999989","8.489999989","8.489999989"
"466","9.9000000097","9.9000000097","9.9000000097"
"467","29.5399998911","29.5399998911","29.5399998911"
"468","29.5399998911","29.5399998911","29.5399998911"
"469","30.5900000036","30.5900000036","30.5900000036"
"470","30.0799999181","30.0799999181","30.0799999181"
"471","29.1799999289","29.1799999289","29.1799999289"
"472","10.8299999647","10.8299999647","10.8299999647"
"473","30.5899999104","30.5899999104","30.5899999104"
"474","24.6500000041","24.6500000041","24.6500000041"
"475","28.7400000244","28.7400000244","28.7400000244"
"476","28.7400000244","28.7400000244","28.7400000244"
"477","29.0900000017","29.0900000017","29.0900000017"
"478","29.0899999347","29.0899999347","29.0899999347"
"479","28.819999991","28.819999991","28.819999991"
"480","29.0299998559","29.0299998559","29.0299998559"
"481","29.3099999521","29.3099999521","29.3099999521"
"482","29.3099999521","29.3099999521","29.3099999521"
"483","30.3999998104","30.3999998104","30.3999998104"
"484","30.3999998104","30.3999998104","30.3999998104"
"485","30.4599999059","30.4599999059","30.4599999059"
"486","30.3299998436","30.3299998436","30.3299998436"
"487","25.8599999901","25.8599999901","25.8599999901"
"488","28.4699999169","28.4699999169","28.4699999169"
"489","9.759999983","9.759999983","9.759999983"
"490","29.6400000099","29.6400000099","29.6400000099"
"491","29.6400000099","29.6400000099","29.6400000099"
"492","30.089999957","30.089999957","30.089999957"
"493","30.7099998798","30.7099998798","30.7099998798"
"494","28.4799998999","28.4799998999","28.4799998999"
"495","10.1399999652","10.1399999652","10.1399999652"
"496","31.5799998492","31.5799998492","31.5799998492"
"497","28.9499998689","28.9499998689","28.9499998689"
"498","28.9499998689","28.9499998689","28.9499998689"
"499","29.7599999253","29.7599999253","29.7599999253"
"500","9.8399999905","9.8399999905","9.8399999905"
"501","9.8399999905","9.8399999905","9.8399999905"
"502","29.8899998907","29.8899998907","29.8899998907"
"503","30.4299998768","30.4299998768","30.4299998768"
"504","30.4299998768","30.4299998768","30.4299998768"
"505","148.2899970021","148.2899970021","148.2899970021"
"506","148.2899970021","148.2899970021","148.2899970021"
"507","28.9699998721","28.9699998721","28.9699998721"
"508","9.6000000071","9.6000000071","9.6000000071"
"509","9.4299999401","9.4299999401","9.4299999401"
"510","10.7500000391","10.7500000391","10.7500000391"
"511","6.7599999979","6.7599999979","6.7599999979"
"512","9.7800000329","9.7800000329","9.7800000329"
"513","9.429999955","9.429999955","9.429999955"
"514","29.8199998699","29.8199998699","29.8199998699"
"515","6.4700000063","6.4700000063","6.4700000063"
"516","29.6999999993","29.6999999993","29.6999999993"
"517","24.0399998911","24.0399998911","24.0399998911"
"518","24.0399998911","24.0399998911","24.0399998911"
"519","29.0499999356","29.0499999356","29.0499999356"
"520","22.2599999011","22.2599999011","22.2599999011"
"521","22.2599999011","22.2599999011","22.2599999011"
"522","148.250002671","148.250002671","148.250002671"
"523","148.250002671","148.250002671","148.250002671"
"524","148.2899980266","148.2899980266","148.2899980266"
"525","23.6699999422","23.6699999422","23.6699999422"
"526","23.759999888","23.759999888","23.759999888"
"527","32.2399999201","32.2399999201","32.2399999201"
"528","32.2399999201","32.2399999201","32.2399999201"
"529","30.35999991","30.35999991","30.35999991"
"530","30.35999991","30.35999991","30.35999991"
"531","148.2600014675","148.2600014675","148.2600014675"
"532","148.2600014675","148.2600014675","148.2600014675"
"533","33.8499997295","33.8499997295","33.8499997295"
"534","22.8899999838","22.8899999838","22.8899999838"
"535","29.0999998692","29.0999998692","29.0999998692"
"536","29.0999998692","29.0999998692","29.0999998692"
"537","148.2100025471","148.2100025471","148.2100025471"
"538","28.3499998543","28.3499998543","28.3499998543"
"539","28.3499998543","28.3499998543","28.3499998543"
"540","22.2799998932","22.2799998932","22.2799998932"
"541","34.5099998359","34.5099998359","34.5099998359"
"542","34.5099998359","34.5099998359","34.5099998359"
"543","148.200001834","148.200001834","148.200001834"
"544","35.1599998362","35.1599998362","35.1599998362"
"545","35.1599998362","35.1599998362","35.1599998362"
"546","33.5999999791","33.5999999791","33.5999999791"
"547","32.5399998911","32.5399998911","32.5399998911"
"548","10.2999999598","10.2999999598","10.2999999598"
"549","148.2299962826","148.2299962826","148.2299962826"
"550","148.2299962826","148.2299962826","148.2299962826"
"551","34.5199999139","34.5199999139","34.5199999139"
"552","34.5199999139","34.5199999139","34.5199999139"
"553","33.8799999114","33.8799999114","33.8799999114"
"554","38.7099999581","38.7099999581","38.7099999581"
"555","27.0999999382","27.0999999382","27.0999999382"
"556","27.0299999416","27.0299999416","27.0299999416"
"557","22.7799999285","22.7799999285","22.7799999285"
