"Step","SAC_single_critic_short_test_track_pixel - loss_actor","SAC_single_critic_short_test_track_pixel - loss_actor__MIN","SAC_single_critic_short_test_track_pixel - loss_actor__MAX"
"112","-3.1879843032","-3.1879843032","-3.1879843032"
"113","-3.2128769648","-3.2128769648","-3.2128769648"
"114","-3.2289184737","-3.2289184737","-3.2289184737"
"115","-3.247693783","-3.247693783","-3.247693783"
"116","-3.2709344816","-3.2709344816","-3.2709344816"
"117","-3.2978386712","-3.2978386712","-3.2978386712"
"118","-3.3132751286","-3.3132751286","-3.3132751286"
"119","-3.3345755184","-3.3345755184","-3.3345755184"
"120","-3.3571991527","-3.3571991527","-3.3571991527"
"121","-3.3714440846","-3.3714440846","-3.3714440846"
"122","-3.3877036655","-3.3877036655","-3.3877036655"
"123","-3.4034689808","-3.4034689808","-3.4034689808"
"124","-3.4282903564","-3.4282903564","-3.4282903564"
"125","-3.450525049","-3.450525049","-3.450525049"
"126","-3.4633828712","-3.4633828712","-3.4633828712"
"127","-3.4800933814","-3.4800933814","-3.4800933814"
"128","-3.4990361762","-3.4990361762","-3.4990361762"
"129","-3.5129505992","-3.5129505992","-3.5129505992"
"130","-3.5411375535","-3.5411375535","-3.5411375535"
"131","-3.5555846655","-3.5555846655","-3.5555846655"
"132","-3.574478879","-3.574478879","-3.574478879"
"133","-3.6001989675","-3.6001989675","-3.6001989675"
"134","-3.6105587959","-3.6105587959","-3.6105587959"
"135","-3.638933388","-3.638933388","-3.638933388"
"136","-3.6494848514","-3.6494848514","-3.6494848514"
"137","-3.6689540303","-3.6689540303","-3.6689540303"
"138","-3.6800770259","-3.6800770259","-3.6800770259"
"139","-3.6932747507","-3.6932747507","-3.6932747507"
"140","-3.7148692524","-3.7148692524","-3.7148692524"
"141","-3.7272252727","-3.7272252727","-3.7272252727"
"142","-3.7489197934","-3.7489197934","-3.7489197934"
"143","-3.759005388","-3.759005388","-3.759005388"
"144","-3.7835099328","-3.7835099328","-3.7835099328"
"145","-3.7952571094","-3.7952571094","-3.7952571094"
"146","-3.8043119395","-3.8043119395","-3.8043119395"
"147","-3.8290461087","-3.8290461087","-3.8290461087"
"148","-3.8362891269","-3.8362891269","-3.8362891269"
"149","-3.8551949012","-3.8551949012","-3.8551949012"
"150","-3.8747505176","-3.8747505176","-3.8747505176"
"151","-3.8968233335","-3.8968233335","-3.8968233335"
"152","-3.9108750355","-3.9108750355","-3.9108750355"
"153","-3.9300571132","-3.9300571132","-3.9300571132"
"154","-3.9409289765","-3.9409289765","-3.9409289765"
"155","-3.9622391367","-3.9622391367","-3.9622391367"
"156","-3.977214309","-3.977214309","-3.977214309"
"157","-3.9903808022","-3.9903808022","-3.9903808022"
"158","-4.0233240366","-4.0233240366","-4.0233240366"
"159","-4.0359430218","-4.0359430218","-4.0359430218"
"160","-4.044834559","-4.044834559","-4.044834559"
"161","-4.0690140092","-4.0690140092","-4.0690140092"
"162","-4.0860063767","-4.0860063767","-4.0860063767"
"163","-4.0968084264","-4.0968084264","-4.0968084264"
"164","-4.1104311764","-4.1104311764","-4.1104311764"
"165","-4.131095798","-4.131095798","-4.131095798"
"166","-4.147191844","-4.147191844","-4.147191844"
"167","-4.1674332535","-4.1674332535","-4.1674332535"
"168","-4.1730820727","-4.1730820727","-4.1730820727"
"169","-4.1945449924","-4.1945449924","-4.1945449924"
"170","-4.2072713542","-4.2072713542","-4.2072713542"
"171","-4.2324499178","-4.2324499178","-4.2324499178"
"172","-4.249484148","-4.249484148","-4.249484148"
"173","-4.2578742051","-4.2578742051","-4.2578742051"
"174","-4.2856276178","-4.2856276178","-4.2856276178"
"175","-4.294309988","-4.294309988","-4.294309988"
"176","-4.3217253876","-4.3217253876","-4.3217253876"
"177","-4.32383744","-4.32383744","-4.32383744"
"178","-4.3531148481","-4.3531148481","-4.3531148481"
"179","-4.3677315974","-4.3677315974","-4.3677315974"
"180","-4.3887397671","-4.3887397671","-4.3887397671"
"181","-4.3888444853","-4.3888444853","-4.3888444853"
"182","-4.4147742963","-4.4147742963","-4.4147742963"
"183","-4.4379493165","-4.4379493165","-4.4379493165"
"184","-4.4579964042","-4.4579964042","-4.4579964042"
"185","-4.4720120811","-4.4720120811","-4.4720120811"
"186","-4.4900144458","-4.4900144458","-4.4900144458"
"187","-4.4979314041","-4.4979314041","-4.4979314041"
"188","-4.5191271925","-4.5191271925","-4.5191271925"
"189","-4.545595727","-4.545595727","-4.545595727"
"190","-4.5601016474","-4.5601016474","-4.5601016474"
"191","-4.5749830866","-4.5749830866","-4.5749830866"
"192","-4.5894373178","-4.5894373178","-4.5894373178"
"193","-4.6076786351","-4.6076786351","-4.6076786351"
"194","-4.6291132331","-4.6291132331","-4.6291132331"
"195","-4.6386725354","-4.6386725354","-4.6386725354"
"196","-4.6628813362","-4.6628813362","-4.6628813362"
"197","-4.6818276477","-4.6818276477","-4.6818276477"
"198","-4.6938979721","-4.6938979721","-4.6938979721"
"199","-4.7156326461","-4.7156326461","-4.7156326461"
"200","-4.7306910396","-4.7306910396","-4.7306910396"
"201","-4.754005363","-4.754005363","-4.754005363"
"202","-4.761948483","-4.761948483","-4.761948483"
"203","-4.7890996218","-4.7890996218","-4.7890996218"
"204","-4.8066033673","-4.8066033673","-4.8066033673"
"205","-4.8348850131","-4.8348850131","-4.8348850131"
"206","-4.860044558","-4.860044558","-4.860044558"
"207","-4.8640956926","-4.8640956926","-4.8640956926"
"208","-4.8855621481","-4.8855621481","-4.8855621481"
"209","-4.8985107994","-4.8985107994","-4.8985107994"
"210","-4.9052633286","-4.9052633286","-4.9052633286"
"211","-4.9319833016","-4.9319833016","-4.9319833016"
"212","-4.9499012399","-4.9499012399","-4.9499012399"
"213","-4.9669911456","-4.9669911456","-4.9669911456"
"214","-4.9938226509","-4.9938226509","-4.9938226509"
"215","-5.0267428541","-5.0267428541","-5.0267428541"
"216","-5.0576237273","-5.0576237273","-5.0576237273"
"217","-5.1059388542","-5.1059388542","-5.1059388542"
"218","-5.1279683948","-5.1279683948","-5.1279683948"
"219","-5.1731764364","-5.1731764364","-5.1731764364"
"220","-5.2163780379","-5.2163780379","-5.2163780379"
"221","-5.2446732044","-5.2446732044","-5.2446732044"
"222","-5.278154192","-5.278154192","-5.278154192"
"223","-5.2974759316","-5.2974759316","-5.2974759316"
"224","-5.3323669052","-5.3323669052","-5.3323669052"
"225","-5.3554358649","-5.3554358649","-5.3554358649"
"226","-5.3677561927","-5.3677561927","-5.3677561927"
"227","-5.4187007284","-5.4187007284","-5.4187007284"
"228","-5.4484722924","-5.4484722924","-5.4484722924"
"229","-5.4901439524","-5.4901439524","-5.4901439524"
"230","-5.4939221382","-5.4939221382","-5.4939221382"
"231","-5.5096109271","-5.5096109271","-5.5096109271"
"232","-5.5286668658","-5.5286668658","-5.5286668658"
"233","-5.5403279901","-5.5403279901","-5.5403279901"
"234","-5.5683192587","-5.5683192587","-5.5683192587"
"235","-5.5782131147","-5.5782131147","-5.5782131147"
"236","-5.6023644233","-5.6023644233","-5.6023644233"
"237","-5.6112221742","-5.6112221742","-5.6112221742"
"238","-5.6210105824","-5.6210105824","-5.6210105824"
"239","-5.6223329163","-5.6223329163","-5.6223329163"
"240","-5.6365802288","-5.6365802288","-5.6365802288"
"241","-5.6407506466","-5.6407506466","-5.6407506466"
"242","-5.6776091242","-5.6776091242","-5.6776091242"
"243","-5.6799039936","-5.6799039936","-5.6799039936"
"244","-5.6765600753","-5.6765600753","-5.6765600753"
"245","-5.6792542696","-5.6792542696","-5.6792542696"
"246","-5.6974941206","-5.6974941206","-5.6974941206"
"247","-5.7195032573","-5.7195032573","-5.7195032573"
"248","-5.7017416811","-5.7017416811","-5.7017416811"
"249","-5.7268478107","-5.7268478107","-5.7268478107"
"250","-5.7257051063","-5.7257051063","-5.7257051063"
"251","-5.7332686639","-5.7332686639","-5.7332686639"
"252","-5.7396382809","-5.7396382809","-5.7396382809"
"253","-5.7435255694","-5.7435255694","-5.7435255694"
"254","-5.7543011451","-5.7543011451","-5.7543011451"
"255","-5.7659650755","-5.7659650755","-5.7659650755"
"256","-5.7845110369","-5.7845110369","-5.7845110369"
"257","-5.7799918985","-5.7799918985","-5.7799918985"
"258","-5.8089185071","-5.8089185071","-5.8089185071"
"259","-5.8226446652","-5.8226446652","-5.8226446652"
"260","-5.8095494318","-5.8095494318","-5.8095494318"
"261","-5.8026017356","-5.8026017356","-5.8026017356"
"262","-5.79510782","-5.79510782","-5.79510782"
"263","-5.82617733","-5.82617733","-5.82617733"
"264","-5.8205207491","-5.8205207491","-5.8205207491"
"265","-5.8176141167","-5.8176141167","-5.8176141167"
"266","-5.8152634621","-5.8152634621","-5.8152634621"
"267","-5.8801467013","-5.8801467013","-5.8801467013"
"268","-5.8508242822","-5.8508242822","-5.8508242822"
"269","-5.85768255","-5.85768255","-5.85768255"
"270","-5.8720187449","-5.8720187449","-5.8720187449"
"271","-5.8486104894","-5.8486104894","-5.8486104894"
"272","-5.8786043811","-5.8786043811","-5.8786043811"
"273","-5.8853021359","-5.8853021359","-5.8853021359"
"274","-5.9007164454","-5.9007164454","-5.9007164454"
"275","-5.8957445097","-5.8957445097","-5.8957445097"
"276","-5.8967667651","-5.8967667651","-5.8967667651"
"277","-5.896622417","-5.896622417","-5.896622417"
"278","-5.9116600132","-5.9116600132","-5.9116600132"
"279","-5.8634671378","-5.8634671378","-5.8634671378"
"280","-5.8851292801","-5.8851292801","-5.8851292801"
"281","-5.896594758","-5.896594758","-5.896594758"
"282","-5.9047075891","-5.9047075891","-5.9047075891"
"283","-5.9328535271","-5.9328535271","-5.9328535271"
"284","-5.9153386283","-5.9153386283","-5.9153386283"
"285","-5.9270573497","-5.9270573497","-5.9270573497"
"286","-5.903128407","-5.903128407","-5.903128407"
"287","-5.9421589756","-5.9421589756","-5.9421589756"
"288","-5.958427875","-5.958427875","-5.958427875"
"289","-5.9476479387","-5.9476479387","-5.9476479387"
"290","-5.9688353181","-5.9688353181","-5.9688353181"
"291","-6.0022216487","-6.0022216487","-6.0022216487"
"292","-5.9760952282","-5.9760952282","-5.9760952282"
"293","-5.9568783617","-5.9568783617","-5.9568783617"
"294","-5.9732007766","-5.9732007766","-5.9732007766"
"295","-5.9685551834","-5.9685551834","-5.9685551834"
"296","-5.9776375866","-5.9776375866","-5.9776375866"
"297","-6.005593648","-6.005593648","-6.005593648"
"298","-6.0037615228","-6.0037615228","-6.0037615228"
"299","-6.022002542","-6.022002542","-6.022002542"
"300","-5.992301662","-5.992301662","-5.992301662"
"301","-6.0499386859","-6.0499386859","-6.0499386859"
"302","-6.0077404714","-6.0077404714","-6.0077404714"
"303","-6.0333983374","-6.0333983374","-6.0333983374"
"304","-6.0596002531","-6.0596002531","-6.0596002531"
"305","-6.0418261218","-6.0418261218","-6.0418261218"
"306","-6.0901910543","-6.0901910543","-6.0901910543"
"307","-6.1081481504","-6.1081481504","-6.1081481504"
"308","-6.1453008199","-6.1453008199","-6.1453008199"
"309","-6.144979353","-6.144979353","-6.144979353"
"310","-6.1358856297","-6.1358856297","-6.1358856297"
"311","-6.1523824954","-6.1523824954","-6.1523824954"
"312","-6.1676686192","-6.1676686192","-6.1676686192"
"313","-6.1487263823","-6.1487263823","-6.1487263823"
"314","-6.2221935272","-6.2221935272","-6.2221935272"
"315","-6.2362311935","-6.2362311935","-6.2362311935"
"316","-6.2232626104","-6.2232626104","-6.2232626104"
"317","-6.2640648842","-6.2640648842","-6.2640648842"
"318","-6.2207462978","-6.2207462978","-6.2207462978"
"319","-6.2278700423","-6.2278700423","-6.2278700423"
"320","-6.28032336","-6.28032336","-6.28032336"
"321","-6.3232052732","-6.3232052732","-6.3232052732"
"322","-6.4004280329","-6.4004280329","-6.4004280329"
"323","-6.3680840278","-6.3680840278","-6.3680840278"
"324","-6.4657964253","-6.4657964253","-6.4657964253"
"325","-6.4382188201","-6.4382188201","-6.4382188201"
"326","-6.5127813983","-6.5127813983","-6.5127813983"
"327","-6.4985195303","-6.4985195303","-6.4985195303"
"328","-6.525288527","-6.525288527","-6.525288527"
"329","-6.5111370778","-6.5111370778","-6.5111370778"
"330","-6.5462549138","-6.5462549138","-6.5462549138"
"331","-6.5003564191","-6.5003564191","-6.5003564191"
"332","-6.5411236811","-6.5411236811","-6.5411236811"
"333","-6.588295846","-6.588295846","-6.588295846"
"334","-6.5899037552","-6.5899037552","-6.5899037552"
"335","-6.5781112576","-6.5781112576","-6.5781112576"
"336","-6.6386458349","-6.6386458349","-6.6386458349"
"337","-6.6965594292","-6.6965594292","-6.6965594292"
"338","-6.676097753","-6.676097753","-6.676097753"
"339","-6.666262064","-6.666262064","-6.666262064"
"340","-6.7371811843","-6.7371811843","-6.7371811843"
"341","-6.6992485857","-6.6992485857","-6.6992485857"
"342","-6.7797200036","-6.7797200036","-6.7797200036"
"343","-6.8173213124","-6.8173213124","-6.8173213124"
"344","-6.7853709817","-6.7853709817","-6.7853709817"
"345","-6.9161415982","-6.9161415982","-6.9161415982"
"346","-6.8578847671","-6.8578847671","-6.8578847671"
"347","-6.8655104876","-6.8655104876","-6.8655104876"
"348","-6.8871737885","-6.8871737885","-6.8871737885"
"349","-6.993611846","-6.993611846","-6.993611846"
"350","-6.9698768973","-6.9698768973","-6.9698768973"
"351","-7.0084587502","-7.0084587502","-7.0084587502"
"352","-7.0421132946","-7.0421132946","-7.0421132946"
"353","-7.0123340225","-7.0123340225","-7.0123340225"
"354","-7.0479452062","-7.0479452062","-7.0479452062"
"355","-7.0322878838","-7.0322878838","-7.0322878838"
"356","-7.052022109","-7.052022109","-7.052022109"
"357","-7.1431615567","-7.1431615567","-7.1431615567"
"358","-7.0860869408","-7.0860869408","-7.0860869408"
"359","-7.1877566838","-7.1877566838","-7.1877566838"
"360","-7.1298679209","-7.1298679209","-7.1298679209"
"361","-7.1556771135","-7.1556771135","-7.1556771135"
"362","-7.1791968703","-7.1791968703","-7.1791968703"
"363","-7.2296292067","-7.2296292067","-7.2296292067"
"364","-7.3572032332","-7.3572032332","-7.3572032332"
"365","-7.2785886478","-7.2785886478","-7.2785886478"
"366","-7.3299848938","-7.3299848938","-7.3299848938"
"367","-7.3705942798","-7.3705942798","-7.3705942798"
"368","-7.4166054153","-7.4166054153","-7.4166054153"
"369","-7.4142330885","-7.4142330885","-7.4142330885"
"370","-7.4031087208","-7.4031087208","-7.4031087208"
"371","-7.4759601521","-7.4759601521","-7.4759601521"
"372","-7.5610934329","-7.5610934329","-7.5610934329"
"373","-7.487711072","-7.487711072","-7.487711072"
"374","-7.5644137073","-7.5644137073","-7.5644137073"
"375","-7.5993605518","-7.5993605518","-7.5993605518"
"376","-7.6698874211","-7.6698874211","-7.6698874211"
"377","-7.7213349628","-7.7213349628","-7.7213349628"
"378","-7.7132851982","-7.7132851982","-7.7132851982"
"379","-7.706962862","-7.706962862","-7.706962862"
"380","-7.7620135236","-7.7620135236","-7.7620135236"
"381","-7.6944658041","-7.6944658041","-7.6944658041"
"382","-7.7135068655","-7.7135068655","-7.7135068655"
"383","-7.7897835755","-7.7897835755","-7.7897835755"
"384","-7.7606940413","-7.7606940413","-7.7606940413"
"385","-7.776502676","-7.776502676","-7.776502676"
"386","-7.7980088472","-7.7980088472","-7.7980088472"
"387","-7.8930337763","-7.8930337763","-7.8930337763"
"388","-7.945713098","-7.945713098","-7.945713098"
"389","-8.0251028562","-8.0251028562","-8.0251028562"
"390","-7.8964189219","-7.8964189219","-7.8964189219"
"391","-7.9591728759","-7.9591728759","-7.9591728759"
"392","-8.0366796875","-8.0366796875","-8.0366796875"
"393","-8.0916381693","-8.0916381693","-8.0916381693"
"394","-8.1227886915","-8.1227886915","-8.1227886915"
"395","-8.2064331079","-8.2064331079","-8.2064331079"
"396","-8.146502502","-8.146502502","-8.146502502"
"397","-8.2117457056","-8.2117457056","-8.2117457056"
"398","-8.2662659216","-8.2662659216","-8.2662659216"
"399","-8.2254079556","-8.2254079556","-8.2254079556"
"400","-8.2650289178","-8.2650289178","-8.2650289178"
"401","-8.3060318899","-8.3060318899","-8.3060318899"
"402","-8.3491889501","-8.3491889501","-8.3491889501"
"403","-8.251605413","-8.251605413","-8.251605413"
"404","-8.3276376295","-8.3276376295","-8.3276376295"
"405","-8.3428004408","-8.3428004408","-8.3428004408"
"406","-8.3512098455","-8.3512098455","-8.3512098455"
"407","-8.3416515017","-8.3416515017","-8.3416515017"
"408","-8.4067661762","-8.4067661762","-8.4067661762"
"409","-8.3799759626","-8.3799759626","-8.3799759626"
"410","-8.3764388251","-8.3764388251","-8.3764388251"
"411","-8.4508143139","-8.4508143139","-8.4508143139"
"412","-8.4352335835","-8.4352335835","-8.4352335835"
"413","-8.4830054259","-8.4830054259","-8.4830054259"
"414","-8.3704748416","-8.3704748416","-8.3704748416"
"415","-8.436180892","-8.436180892","-8.436180892"
"416","-8.4146651244","-8.4146651244","-8.4146651244"
"417","-8.4703806305","-8.4703806305","-8.4703806305"
"418","-8.533570838","-8.533570838","-8.533570838"
"419","-8.4787134743","-8.4787134743","-8.4787134743"
"420","-8.5133866858","-8.5133866858","-8.5133866858"
"421","-8.5089944935","-8.5089944935","-8.5089944935"
"422","-8.6309610987","-8.6309610987","-8.6309610987"
"423","-8.5639728212","-8.5639728212","-8.5639728212"
"424","-8.5316037107","-8.5316037107","-8.5316037107"
"425","-8.6278087258","-8.6278087258","-8.6278087258"
"426","-8.6939096856","-8.6939096856","-8.6939096856"
"427","-8.7173345661","-8.7173345661","-8.7173345661"
"428","-8.7352067924","-8.7352067924","-8.7352067924"
"429","-8.8022499132","-8.8022499132","-8.8022499132"
"430","-8.7989878607","-8.7989878607","-8.7989878607"
"431","-8.7746397829","-8.7746397829","-8.7746397829"
"432","-8.7808514428","-8.7808514428","-8.7808514428"
"433","-8.7920087266","-8.7920087266","-8.7920087266"
"434","-8.7590575051","-8.7590575051","-8.7590575051"
"435","-8.770296073","-8.770296073","-8.770296073"
"436","-8.8550558376","-8.8550558376","-8.8550558376"
"437","-8.9006643677","-8.9006643677","-8.9006643677"
"438","-9.0023760295","-9.0023760295","-9.0023760295"
"439","-8.9572027969","-8.9572027969","-8.9572027969"
"440","-8.9994727874","-8.9994727874","-8.9994727874"
"441","-8.9787237","-8.9787237","-8.9787237"
"442","-9.0803522182","-9.0803522182","-9.0803522182"
"443","-9.1226026726","-9.1226026726","-9.1226026726"
"444","-9.0407268214","-9.0407268214","-9.0407268214"
"445","-9.0988905764","-9.0988905764","-9.0988905764"
"446","-9.1041276336","-9.1041276336","-9.1041276336"
"447","-9.1423798418","-9.1423798418","-9.1423798418"
"448","-9.1035167766","-9.1035167766","-9.1035167766"
"449","-9.2739444685","-9.2739444685","-9.2739444685"
"450","-9.2213244224","-9.2213244224","-9.2213244224"
"451","-9.2667844296","-9.2667844296","-9.2667844296"
"452","-9.1928882289","-9.1928882289","-9.1928882289"
"453","-9.3464620638","-9.3464620638","-9.3464620638"
"454","-9.3734896564","-9.3734896564","-9.3734896564"
"455","-9.2769369125","-9.2769369125","-9.2769369125"
"456","-9.4253193212","-9.4253193212","-9.4253193212"
"457","-9.2971041656","-9.2971041656","-9.2971041656"
"458","-9.3835737228","-9.3835737228","-9.3835737228"
"459","-9.3789112997","-9.3789112997","-9.3789112997"
"460","-9.50522861","-9.50522861","-9.50522861"
"461","-9.4434024978","-9.4434024978","-9.4434024978"
"462","-9.4698599315","-9.4698599315","-9.4698599315"
"463","-9.5068010092","-9.5068010092","-9.5068010092"
"464","-9.486348753","-9.486348753","-9.486348753"
"465","-9.521424551","-9.521424551","-9.521424551"
"466","-9.5290963221","-9.5290963221","-9.5290963221"
"467","-9.483356545","-9.483356545","-9.483356545"
"468","-9.551214571","-9.551214571","-9.551214571"
"469","-9.6231230879","-9.6231230879","-9.6231230879"
"470","-9.5696454096","-9.5696454096","-9.5696454096"
"471","-9.544988699","-9.544988699","-9.544988699"
"472","-9.50667974","-9.50667974","-9.50667974"
"473","-9.5433105159","-9.5433105159","-9.5433105159"
"474","-9.5565286541","-9.5565286541","-9.5565286541"
"475","-9.6972873497","-9.6972873497","-9.6972873497"
"476","-9.6477320147","-9.6477320147","-9.6477320147"
"477","-9.5018594766","-9.5018594766","-9.5018594766"
"478","-9.5952550507","-9.5952550507","-9.5952550507"
"479","-9.5863630295","-9.5863630295","-9.5863630295"
"480","-9.6671904516","-9.6671904516","-9.6671904516"
"481","-9.5958850718","-9.5958850718","-9.5958850718"
"482","-9.6794418192","-9.6794418192","-9.6794418192"
"483","-9.6620518875","-9.6620518875","-9.6620518875"
"484","-9.6621603155","-9.6621603155","-9.6621603155"
"485","-9.6109834933","-9.6109834933","-9.6109834933"
"486","-9.6180642676","-9.6180642676","-9.6180642676"
"487","-9.6414140987","-9.6414140987","-9.6414140987"
"488","-9.6621125507","-9.6621125507","-9.6621125507"
"489","-9.8137966776","-9.8137966776","-9.8137966776"
"490","-9.7084896755","-9.7084896755","-9.7084896755"
"491","-9.6617066097","-9.6617066097","-9.6617066097"
"492","-9.7231691074","-9.7231691074","-9.7231691074"
"493","-9.7570894885","-9.7570894885","-9.7570894885"
"494","-9.6511274076","-9.6511274076","-9.6511274076"
"495","-9.7157977104","-9.7157977104","-9.7157977104"
"496","-9.7101651669","-9.7101651669","-9.7101651669"
