"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"57","11.6999998465","11.6999998465","11.6999998465"
"58","14.2199997511","14.2199997511","14.2199997511"
"59","16.8599997777","16.8599997777","16.8599997777"
"60","16.8599997777","16.8599997777","16.8599997777"
"61","4.9299999643","4.9299999643","4.9299999643"
"62","17.2499997355","17.2499997355","17.2499997355"
"63","15.2999997549","15.2999997549","15.2999997549"
"64","11.1099998336","11.1099998336","11.1099998336"
"65","5.339999916","5.339999916","5.339999916"
"66","16.8399997428","16.8399997428","16.8399997428"
"67","17.5799997449","17.5799997449","17.5799997449"
"68","15.8899996895","15.8899996895","15.8899996895"
"69","17.1299998369","17.1299998369","17.1299998369"
"70","16.6899998933","16.6899998933","16.6899998933"
"71","10.0599998422","10.0599998422","10.0599998422"
"72","5.5999999456","5.5999999456","5.5999999456"
"73","15.3499998543","15.3499998543","15.3499998543"
"74","14.0399998482","14.0399998482","14.0399998482"
"75","13.279999828","13.279999828","13.279999828"
"76","14.4699999075","14.4699999075","14.4699999075"
"77","14.6499997601","14.6499997601","14.6499997601"
"78","15.4599998239","15.4599998239","15.4599998239"
"79","15.6799998023","15.6799998023","15.6799998023"
"80","14.1899997909","14.1899997909","14.1899997909"
"81","15.3699998986","15.3699998986","15.3699998986"
"82","7.7699999027","7.7699999027","7.7699999027"
"83","2.9499999546","2.9499999546","2.9499999546"
"84","14.4699998349","14.4699998349","14.4699998349"
"85","14.3199999202","14.3199999202","14.3199999202"
"86","12.4599997364","12.4599997364","12.4599997364"
"87","36.4999995437","36.4999995437","36.4999995437"
"88","16.4999997858","16.4999997858","16.4999997858"
"89","17.1999997701","17.1999997701","17.1999997701"
"90","10.3999998905","10.3999998905","10.3999998905"
"91","9.0699998494","9.0699998494","9.0699998494"
"92","10.319999909","10.319999909","10.319999909"
"93","9.839999916","9.839999916","9.839999916"
"94","16.2399998792","16.2399998792","16.2399998792"
"95","9.0699999817","9.0699999817","9.0699999817"
"96","15.5899997707","15.5899997707","15.5899997707"
"97","14.7099997457","14.7099997457","14.7099997457"
"98","10.0399998631","10.0399998631","10.0399998631"
"99","17.0499998163","17.0499998163","17.0499998163"
"100","35.3499995898","35.3499995898","35.3499995898"
"101","10.1399998609","10.1399998609","10.1399998609"
"102","26.279999556","26.279999556","26.279999556"
"103","14.1999997422","14.1999997422","14.1999997422"
"104","14.1599998102","14.1599998102","14.1599998102"
"105","17.1799997296","17.1799997296","17.1799997296"
"106","17.1799997296","17.1799997296","17.1799997296"
"107","21.849999629","21.849999629","21.849999629"
"108","14.8799997941","14.8799997941","14.8799997941"
"109","14.8699997757","14.8699997757","14.8699997757"
"110","15.7299997713","15.7299997713","15.7299997713"
"111","30.239999637","30.239999637","30.239999637"
"112","9.5999999307","9.5999999307","9.5999999307"
"113","15.5699998084","15.5699998084","15.5699998084"
"114","15.3999998849","15.3999998849","15.3999998849"
"115","15.3999998849","15.3999998849","15.3999998849"
"116","15.9799998496","15.9799998496","15.9799998496"
"117","15.279999746","15.279999746","15.279999746"
"118","15.279999746","15.279999746","15.279999746"
"119","10.239999963","10.239999963","10.239999963"
"120","14.7799999155","14.7799999155","14.7799999155"
"121","38.9699995928","38.9699995928","38.9699995928"
"122","13.0699998308","13.0699998308","13.0699998308"
"123","15.9999998193","15.9999998193","15.9999998193"
"124","10.1399999149","10.1399999149","10.1399999149"
"125","30.8199996073","30.8199996073","30.8199996073"
"126","10.5599999018","10.5599999018","10.5599999018"
"127","15.6299998462","15.6299998462","15.6299998462"
"128","14.6899998281","14.6899998281","14.6899998281"
"129","14.6899998281","14.6899998281","14.6899998281"
"130","30.9399996419","30.9399996419","30.9399996419"
"131","26.1099996399","26.1099996399","26.1099996399"
"132","26.1099996399","26.1099996399","26.1099996399"
"133","37.2599996012","37.2599996012","37.2599996012"
