"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"84","4.7699999176","4.7699999176","4.7699999176"
"85","0.0399999991","0.0399999991","0.0399999991"
"86","0","0","0"
"87","0.3099999931","0.3099999931","0.3099999931"
"88","0.3399999924","0.3399999924","0.3399999924"
"89","0","0","0"
"90","0","0","0"
"91","0.0699999984","0.0699999984","0.0699999984"
"92","0","0","0"
"93","0.489999989","0.489999989","0.489999989"
"94","0.2099999953","0.2099999953","0.2099999953"
"95","0.179999996","0.179999996","0.179999996"
"96","1.5599999651","1.5599999651","1.5599999651"
"97","2.309999954","2.309999954","2.309999954"
"98","1.519999966","1.519999966","1.519999966"
"99","0","0","0"
"100","0.0299999993","0.0299999993","0.0299999993"
"101","0.5999999866","0.5999999866","0.5999999866"
"102","0.1299999971","0.1299999971","0.1299999971"
"103","0.2999999933","0.2999999933","0.2999999933"
"104","0","0","0"
"105","0","0","0"
"106","0.0199999996","0.0199999996","0.0199999996"
"107","4.2299999669","4.2299999669","4.2299999669"
"108","2.7799999379","2.7799999379","2.7799999379"
"109","1.3099999707","1.3099999707","1.3099999707"
"110","0.0399999991","0.0399999991","0.0399999991"
"111","0.3199999928","0.3199999928","0.3199999928"
"112","0.5099999886","0.5099999886","0.5099999886"
"113","7.5199999232","7.5199999232","7.5199999232"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","0.7399999835","0.7399999835","0.7399999835"
"118","1.5099999681","1.5099999681","1.5099999681"
"119","0.089999998","0.089999998","0.089999998"
"120","0","0","0"
"121","0.0299999993","0.0299999993","0.0299999993"
"122","0","0","0"
"123","1.0899999756","1.0899999756","1.0899999756"
"124","0.2399999946","0.2399999946","0.2399999946"
"125","1.5599999726","1.5599999726","1.5599999726"
"126","3.4699999299","3.4699999299","3.4699999299"
"127","0.1999999955","0.1999999955","0.1999999955"
"128","2.0099999551","2.0099999551","2.0099999551"
"129","0.0699999984","0.0699999984","0.0699999984"
"130","1.0799999759","1.0799999759","1.0799999759"
"131","1.7199999634","1.7199999634","1.7199999634"
"132","0","0","0"
"133","0.849999981","0.849999981","0.849999981"
"134","0.5199999884","0.5199999884","0.5199999884"
"135","1.4199999776","1.4199999776","1.4199999776"
"136","0.8099999819","0.8099999819","0.8099999819"
"137","0.1299999971","0.1299999971","0.1299999971"
"138","2.9099999517","2.9099999517","2.9099999517"
"139","0.5899999868","0.5899999868","0.5899999868"
"140","1.3199999705","1.3199999705","1.3199999705"
"141","2.2399999499","2.2399999499","2.2399999499"
"142","0","0","0"
"143","0","0","0"
"144","0.2099999953","0.2099999953","0.2099999953"
"145","0","0","0"
"146","0.2899999935","0.2899999935","0.2899999935"
"147","0.0299999993","0.0299999993","0.0299999993"
"148","0.4199999906","0.4199999906","0.4199999906"
"149","0.4599999897","0.4599999897","0.4599999897"
"150","0.0699999984","0.0699999984","0.0699999984"
"151","0.4599999897","0.4599999897","0.4599999897"
"152","1.1799999736","1.1799999736","1.1799999736"
"153","0.0799999982","0.0799999982","0.0799999982"
"154","0.579999987","0.579999987","0.579999987"
"155","0","0","0"
"156","2.5899999533","2.5899999533","2.5899999533"
"157","0","0","0"
"158","0","0","0"
"159","1.3599999696","1.3599999696","1.3599999696"
"160","0","0","0"
"161","1.3499999698","1.3499999698","1.3499999698"
"162","0","0","0"
"163","0.3899999913","0.3899999913","0.3899999913"
"164","0","0","0"
"165","0.0199999996","0.0199999996","0.0199999996"
"166","0","0","0"
"167","0.0199999996","0.0199999996","0.0199999996"
"168","0","0","0"
"169","1.0499999765","1.0499999765","1.0499999765"
"170","3.3299999498","3.3299999498","3.3299999498"
"171","0","0","0"
"172","2.5799999461","2.5799999461","2.5799999461"
"173","0.0999999978","0.0999999978","0.0999999978"
"174","0","0","0"
"175","0","0","0"
"176","1.7299999632","1.7299999632","1.7299999632"
"177","0.4499999899","0.4499999899","0.4499999899"
"178","2.1899999697","2.1899999697","2.1899999697"
"179","0","0","0"
"180","0.0499999989","0.0499999989","0.0499999989"
"181","0.0199999996","0.0199999996","0.0199999996"
"182","0","0","0"
"183","0.0999999978","0.0999999978","0.0999999978"
"184","0.489999989","0.489999989","0.489999989"
"185","0","0","0"
"186","0","0","0"
"187","1.78999996","1.78999996","1.78999996"
"188","0.0199999996","0.0199999996","0.0199999996"
"189","0","0","0"
"190","1.22999998","1.22999998","1.22999998"
"191","0.8199999817","0.8199999817","0.8199999817"
"192","0.9699999783","0.9699999783","0.9699999783"
