"Step","DDPG_short_test_track_pixel - loss_critic","DDPG_short_test_track_pixel - loss_critic__MIN","DDPG_short_test_track_pixel - loss_critic__MAX"
"125","0.0007592016","0.0007592016","0.0007592016"
"126","0.0008162725","0.0008162725","0.0008162725"
"127","0.0006662922","0.0006662922","0.0006662922"
"128","0.0008781225","0.0008781225","0.0008781225"
"129","0.0006726638","0.0006726638","0.0006726638"
"130","0.0007778808","0.0007778808","0.0007778808"
"131","0.0007312034","0.0007312034","0.0007312034"
"132","0.0006330084","0.0006330084","0.0006330084"
"133","0.0006755748","0.0006755748","0.0006755748"
"134","0.0007528569","0.0007528569","0.0007528569"
"135","0.0008296345","0.0008296345","0.0008296345"
"136","0.0008487725","0.0008487725","0.0008487725"
"137","0.0006916356","0.0006916356","0.0006916356"
"138","0.0008636612","0.0008636612","0.0008636612"
"139","0.0008751223","0.0008751223","0.0008751223"
"140","0.0008175017","0.0008175017","0.0008175017"
"141","0.0007947138","0.0007947138","0.0007947138"
"142","0.0008012961","0.0008012961","0.0008012961"
"143","0.0007764149","0.0007764149","0.0007764149"
"144","0.0008065555","0.0008065555","0.0008065555"
"145","0.0008083888","0.0008083888","0.0008083888"
"146","0.0014041881","0.0014041881","0.0014041881"
"147","0.0013257237","0.0013257237","0.0013257237"
"148","0.0007760464","0.0007760464","0.0007760464"
"149","0.000850092","0.000850092","0.000850092"
"150","0.0007493496","0.0007493496","0.0007493496"
"151","0.0007204118","0.0007204118","0.0007204118"
"152","0.000733616","0.000733616","0.000733616"
"153","0.0006953833","0.0006953833","0.0006953833"
"154","0.0008348291","0.0008348291","0.0008348291"
"155","0.0008942049","0.0008942049","0.0008942049"
"156","0.0007755281","0.0007755281","0.0007755281"
"157","0.0009415584","0.0009415584","0.0009415584"
"158","0.0007850862","0.0007850862","0.0007850862"
"159","0.0008316262","0.0008316262","0.0008316262"
"160","0.0007880872","0.0007880872","0.0007880872"
"161","0.0008344981","0.0008344981","0.0008344981"
"162","0.0014853318","0.0014853318","0.0014853318"
"163","0.000972006","0.000972006","0.000972006"
"164","0.0009575786","0.0009575786","0.0009575786"
"165","0.0008612756","0.0008612756","0.0008612756"
"166","0.001302535","0.001302535","0.001302535"
"167","0.0017381418","0.0017381418","0.0017381418"
"168","0.0008211059","0.0008211059","0.0008211059"
"169","0.0008181433","0.0008181433","0.0008181433"
"170","0.0008791818","0.0008791818","0.0008791818"
"171","0.0009232412","0.0009232412","0.0009232412"
"172","0.0008246447","0.0008246447","0.0008246447"
"173","0.0009632349","0.0009632349","0.0009632349"
"174","0.0008784864","0.0008784864","0.0008784864"
"175","0.0008185682","0.0008185682","0.0008185682"
"176","0.000805191","0.000805191","0.000805191"
"177","0.0008717463","0.0008717463","0.0008717463"
"178","0.0009221354","0.0009221354","0.0009221354"
"179","0.0007842016","0.0007842016","0.0007842016"
"180","0.0009691893","0.0009691893","0.0009691893"
"181","0.0010392481","0.0010392481","0.0010392481"
"182","0.0010178223","0.0010178223","0.0010178223"
"183","0.000978888","0.000978888","0.000978888"
"184","0.0009289765","0.0009289765","0.0009289765"
"185","0.0017271971","0.0017271971","0.0017271971"
"186","0.0011043858","0.0011043858","0.0011043858"
"187","0.0009821651","0.0009821651","0.0009821651"
"188","0.0010432768","0.0010432768","0.0010432768"
"189","0.0009267723","0.0009267723","0.0009267723"
"190","0.0012568701","0.0012568701","0.0012568701"
"191","0.0010098277","0.0010098277","0.0010098277"
"192","0.0010609341","0.0010609341","0.0010609341"
"193","0.001194817","0.001194817","0.001194817"
"194","0.0010933652","0.0010933652","0.0010933652"
"195","0.0010034917","0.0010034917","0.0010034917"
"196","0.0010968719","0.0010968719","0.0010968719"
"197","0.0010733261","0.0010733261","0.0010733261"
"198","0.0011658509","0.0011658509","0.0011658509"
"199","0.0010563629","0.0010563629","0.0010563629"
"200","0.0010612204","0.0010612204","0.0010612204"
"201","0.0010055966","0.0010055966","0.0010055966"
"202","0.0011637183","0.0011637183","0.0011637183"
"203","0.000993364","0.000993364","0.000993364"
"204","0.0009444014","0.0009444014","0.0009444014"
"205","0.001077275","0.001077275","0.001077275"
"206","0.0009969475","0.0009969475","0.0009969475"
"207","0.0011221376","0.0011221376","0.0011221376"
"208","0.0021562787","0.0021562787","0.0021562787"
"209","0.0011830428","0.0011830428","0.0011830428"
"210","0.0048314983","0.0048314983","0.0048314983"
"211","0.0030586879","0.0030586879","0.0030586879"
"212","0.001734617","0.001734617","0.001734617"
"213","0.0014493438","0.0014493438","0.0014493438"
"214","0.0015525793","0.0015525793","0.0015525793"
"215","0.0011532116","0.0011532116","0.0011532116"
"216","0.0010479147","0.0010479147","0.0010479147"
"217","0.0011203403","0.0011203403","0.0011203403"
"218","0.0015162018","0.0015162018","0.0015162018"
"219","0.0011996712","0.0011996712","0.0011996712"
"220","0.0012381281","0.0012381281","0.0012381281"
"221","0.0017351802","0.0017351802","0.0017351802"
"222","0.0013892914","0.0013892914","0.0013892914"
"223","0.0013006868","0.0013006868","0.0013006868"
"224","0.0015195185","0.0015195185","0.0015195185"
"225","0.0014603558","0.0014603558","0.0014603558"
"226","0.0014529496","0.0014529496","0.0014529496"
"227","0.0016200612","0.0016200612","0.0016200612"
"228","0.0026447328","0.0026447328","0.0026447328"
"229","0.0020960507","0.0020960507","0.0020960507"
"230","0.0015982037","0.0015982037","0.0015982037"
"231","0.0016117053","0.0016117053","0.0016117053"
"232","0.0018781663","0.0018781663","0.0018781663"
"233","0.0015031699","0.0015031699","0.0015031699"
"234","0.0022118237","0.0022118237","0.0022118237"
"235","0.0017504556","0.0017504556","0.0017504556"
"236","0.0020989531","0.0020989531","0.0020989531"
"237","0.0018094641","0.0018094641","0.0018094641"
"238","0.0016784794","0.0016784794","0.0016784794"
"239","0.0015893807","0.0015893807","0.0015893807"
"240","0.0017056665","0.0017056665","0.0017056665"
"241","0.0017251947","0.0017251947","0.0017251947"
"242","0.0020473006","0.0020473006","0.0020473006"
"243","0.0018767997","0.0018767997","0.0018767997"
"244","0.0020337212","0.0020337212","0.0020337212"
"245","0.0020632711","0.0020632711","0.0020632711"
"246","0.0020624987","0.0020624987","0.0020624987"
"247","0.0021369591","0.0021369591","0.0021369591"
"248","0.002068401","0.002068401","0.002068401"
"249","0.0020404056","0.0020404056","0.0020404056"
"250","0.0025679236","0.0025679236","0.0025679236"
"251","0.0024709024","0.0024709024","0.0024709024"
"252","0.0023593653","0.0023593653","0.0023593653"
"253","0.0022960011","0.0022960011","0.0022960011"
"254","0.0029855763","0.0029855763","0.0029855763"
"255","0.0024013799","0.0024013799","0.0024013799"
"256","0.0023629554","0.0023629554","0.0023629554"
"257","0.0026889089","0.0026889089","0.0026889089"
"258","0.0030745612","0.0030745612","0.0030745612"
"259","0.0029568087","0.0029568087","0.0029568087"
"260","0.0025817496","0.0025817496","0.0025817496"
"261","0.0026954895","0.0026954895","0.0026954895"
"262","0.0025604382","0.0025604382","0.0025604382"
"263","0.0029387204","0.0029387204","0.0029387204"
"264","0.0027856075","0.0027856075","0.0027856075"
"265","0.0040641182","0.0040641182","0.0040641182"
"266","0.0035952247","0.0035952247","0.0035952247"
"267","0.0031475641","0.0031475641","0.0031475641"
"268","0.0034246835","0.0034246835","0.0034246835"
"269","0.003009778","0.003009778","0.003009778"
"270","0.0029737354","0.0029737354","0.0029737354"
"271","0.0044676197","0.0044676197","0.0044676197"
"272","0.0039925133","0.0039925133","0.0039925133"
"273","0.003366592","0.003366592","0.003366592"
"274","0.0036635445","0.0036635445","0.0036635445"
"275","0.0031280759","0.0031280759","0.0031280759"
"276","0.0040018853","0.0040018853","0.0040018853"
"277","0.0046786609","0.0046786609","0.0046786609"
"278","0.003645399","0.003645399","0.003645399"
"279","0.005446087","0.005446087","0.005446087"
"280","0.0049140384","0.0049140384","0.0049140384"
"281","0.0051978343","0.0051978343","0.0051978343"
"282","0.0048361289","0.0048361289","0.0048361289"
"283","0.0056256126","0.0056256126","0.0056256126"
"284","0.0055730055","0.0055730055","0.0055730055"
"285","0.0056307314","0.0056307314","0.0056307314"
"286","0.0092575877","0.0092575877","0.0092575877"
"287","0.0071063993","0.0071063993","0.0071063993"
"288","0.0074230551","0.0074230551","0.0074230551"
"289","0.0061629311","0.0061629311","0.0061629311"
"290","0.0063794687","0.0063794687","0.0063794687"
"291","0.0080745881","0.0080745881","0.0080745881"
"292","0.0087387461","0.0087387461","0.0087387461"
"293","0.0101436772","0.0101436772","0.0101436772"
"294","0.0078880991","0.0078880991","0.0078880991"
"295","0.0106855643","0.0106855643","0.0106855643"
"296","0.0108637209","0.0108637209","0.0108637209"
"297","0.0139093138","0.0139093138","0.0139093138"
"298","0.0107822095","0.0107822095","0.0107822095"
"299","0.0149033125","0.0149033125","0.0149033125"
"300","0.0149253129","0.0149253129","0.0149253129"
"301","0.0141349071","0.0141349071","0.0141349071"
"302","0.0138294633","0.0138294633","0.0138294633"
"303","0.0143060863","0.0143060863","0.0143060863"
"304","0.0214073566","0.0214073566","0.0214073566"
"305","0.0159419034","0.0159419034","0.0159419034"
"306","0.0155574549","0.0155574549","0.0155574549"
"307","0.018300038","0.018300038","0.018300038"
"308","0.0179165191","0.0179165191","0.0179165191"
"309","0.029796396","0.029796396","0.029796396"
"310","0.0211448919","0.0211448919","0.0211448919"
"311","0.0225634897","0.0225634897","0.0225634897"
"312","0.0204309112","0.0204309112","0.0204309112"
"313","0.0277641931","0.0277641931","0.0277641931"
"314","0.022498127","0.022498127","0.022498127"
"315","0.0317776635","0.0317776635","0.0317776635"
"316","0.0304415235","0.0304415235","0.0304415235"
"317","0.0367800729","0.0367800729","0.0367800729"
"318","0.0339201921","0.0339201921","0.0339201921"
"319","0.0323361224","0.0323361224","0.0323361224"
"320","0.0335743205","0.0335743205","0.0335743205"
"321","0.0355250796","0.0355250796","0.0355250796"
"322","0.0466066771","0.0466066771","0.0466066771"
"323","0.0540996499","0.0540996499","0.0540996499"
"324","0.0458691989","0.0458691989","0.0458691989"
"325","0.0395843529","0.0395843529","0.0395843529"
"326","0.0378073573","0.0378073573","0.0378073573"
"327","0.0424624665","0.0424624665","0.0424624665"
"328","0.0590018148","0.0590018148","0.0590018148"
"329","0.0400736103","0.0400736103","0.0400736103"
"330","0.0412985273","0.0412985273","0.0412985273"
"331","0.0692468574","0.0692468574","0.0692468574"
"332","0.0590965433","0.0590965433","0.0590965433"
"333","0.055377102","0.055377102","0.055377102"
"334","0.0574365014","0.0574365014","0.0574365014"
"335","0.0738109268","0.0738109268","0.0738109268"
"336","0.0886524884","0.0886524884","0.0886524884"
"337","0.1173251252","0.1173251252","0.1173251252"
"338","0.1082802527","0.1082802527","0.1082802527"
"339","0.0843731386","0.0843731386","0.0843731386"
"340","0.0610454434","0.0610454434","0.0610454434"
"341","0.0907267184","0.0907267184","0.0907267184"
"342","0.1337215173","0.1337215173","0.1337215173"
"343","0.1157033704","0.1157033704","0.1157033704"
"344","0.1075219355","0.1075219355","0.1075219355"
"345","0.1058293609","0.1058293609","0.1058293609"
"346","0.0991139708","0.0991139708","0.0991139708"
"347","0.1681519412","0.1681519412","0.1681519412"
"348","0.2116701582","0.2116701582","0.2116701582"
"349","0.1376297484","0.1376297484","0.1376297484"
"350","0.1019183156","0.1019183156","0.1019183156"
"351","0.1499974096","0.1499974096","0.1499974096"
"352","0.2034948583","0.2034948583","0.2034948583"
"353","0.3487519824","0.3487519824","0.3487519824"
"354","0.1792744454","0.1792744454","0.1792744454"
"355","0.184193627","0.184193627","0.184193627"
"356","0.1908409469","0.1908409469","0.1908409469"
"357","0.1939757444","0.1939757444","0.1939757444"
"358","0.2318964136","0.2318964136","0.2318964136"
"359","0.2943312708","0.2943312708","0.2943312708"
"360","0.2088804377","0.2088804377","0.2088804377"
"361","0.1718239952","0.1718239952","0.1718239952"
"362","0.2035821864","0.2035821864","0.2035821864"
"363","0.2718225669","0.2718225669","0.2718225669"
"364","0.2501655824","0.2501655824","0.2501655824"
"365","0.2626813579","0.2626813579","0.2626813579"
"366","0.3227905834","0.3227905834","0.3227905834"
"367","0.2629372585","0.2629372585","0.2629372585"
"368","0.2203215709","0.2203215709","0.2203215709"
"369","0.2865817421","0.2865817421","0.2865817421"
"370","0.3150842887","0.3150842887","0.3150842887"
"371","0.2738149326","0.2738149326","0.2738149326"
"372","0.4611287612","0.4611287612","0.4611287612"
"373","0.4411614174","0.4411614174","0.4411614174"
"374","0.3533264577","0.3533264577","0.3533264577"
"375","0.3977837586","0.3977837586","0.3977837586"
"376","0.4080103419","0.4080103419","0.4080103419"
"377","0.3853014719","0.3853014719","0.3853014719"
"378","0.8674831885","0.8674831885","0.8674831885"
"379","0.5741100446","0.5741100446","0.5741100446"
"380","0.5155817171","0.5155817171","0.5155817171"
"381","0.5688081536","0.5688081536","0.5688081536"
"382","0.4873497474","0.4873497474","0.4873497474"
"383","0.6483088469","0.6483088469","0.6483088469"
"384","0.4931526937","0.4931526937","0.4931526937"
"385","0.5231134675","0.5231134675","0.5231134675"
"386","0.8369248455","0.8369248455","0.8369248455"
"387","0.6583346622","0.6583346622","0.6583346622"
"388","0.633462443","0.633462443","0.633462443"
"389","1.2309302969","1.2309302969","1.2309302969"
"390","0.854865281","0.854865281","0.854865281"
"391","0.7569908568","0.7569908568","0.7569908568"
"392","0.8045047966","0.8045047966","0.8045047966"
"393","0.6764239425","0.6764239425","0.6764239425"
"394","0.9408693025","0.9408693025","0.9408693025"
"395","0.9416699761","0.9416699761","0.9416699761"
"396","1.004971135","1.004971135","1.004971135"
"397","1.1882246866","1.1882246866","1.1882246866"
"398","1.1099603657","1.1099603657","1.1099603657"
"399","1.2199037199","1.2199037199","1.2199037199"
"400","1.0782890245","1.0782890245","1.0782890245"
"401","0.9779277626","0.9779277626","0.9779277626"
"402","1.1591147945","1.1591147945","1.1591147945"
"403","1.3681981164","1.3681981164","1.3681981164"
"404","0.953576125","0.953576125","0.953576125"
"405","1.1979432508","1.1979432508","1.1979432508"
"406","1.6841172127","1.6841172127","1.6841172127"
"407","1.4595872916","1.4595872916","1.4595872916"
"408","1.2368611283","1.2368611283","1.2368611283"
"409","1.5152395988","1.5152395988","1.5152395988"
"410","2.1414682102","2.1414682102","2.1414682102"
"411","2.0412241488","2.0412241488","2.0412241488"
"412","1.4562953582","1.4562953582","1.4562953582"
"413","1.2962015774","1.2962015774","1.2962015774"
"414","1.3468337618","1.3468337618","1.3468337618"
"415","2.2011803973","2.2011803973","2.2011803973"
"416","1.9669766298","1.9669766298","1.9669766298"
"417","1.7662418583","1.7662418583","1.7662418583"
"418","1.9044621757","1.9044621757","1.9044621757"
"419","2.3878643562","2.3878643562","2.3878643562"
"420","1.9360983232","1.9360983232","1.9360983232"
"421","1.8487709469","1.8487709469","1.8487709469"
"422","1.8398732916","1.8398732916","1.8398732916"
"423","1.751370621","1.751370621","1.751370621"
"424","1.8602066265","1.8602066265","1.8602066265"
"425","3.3458221896","3.3458221896","3.3458221896"
"426","2.0710075605","2.0710075605","2.0710075605"
"427","2.3930754545","2.3930754545","2.3930754545"
"428","2.1146943213","2.1146943213","2.1146943213"
"429","1.8584919868","1.8584919868","1.8584919868"
"430","2.2284902632","2.2284902632","2.2284902632"
"431","2.5723415421","2.5723415421","2.5723415421"
"432","2.7431048134","2.7431048134","2.7431048134"
"433","3.656791355","3.656791355","3.656791355"
"434","5.1560718447","5.1560718447","5.1560718447"
"435","3.3113534912","3.3113534912","3.3113534912"
"436","3.0651137695","3.0651137695","3.0651137695"
