"Step","SAC_Double_critic_lidar - return_train","SAC_Double_critic_lidar - return_train__MIN","SAC_Double_critic_lidar - return_train__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","1.2499999721","1.2499999721","1.2499999721"
"5","1.0199999772","1.0199999772","1.0199999772"
"6","1.3099999726","1.3099999726","1.3099999726"
"7","1.0799999759","1.0799999759","1.0799999759"
"8","1.0799999759","1.0799999759","1.0799999759"
"9","8.1399998646","8.1399998646","8.1399998646"
"10","8.1399998646","8.1399998646","8.1399998646"
"11","6.4499998819","6.4499998819","6.4499998819"
"12","6.4499998819","6.4499998819","6.4499998819"
"13","2.6999999397","2.6999999397","2.6999999397"
"14","2.6999999397","2.6999999397","2.6999999397"
"15","2.6999999397","2.6999999397","2.6999999397"
"16","2.6999999397","2.6999999397","2.6999999397"
"17","2.6999999397","2.6999999397","2.6999999397"
"18","30.8699997105","30.8699997105","30.8699997105"
"19","30.8699997105","30.8699997105","30.8699997105"
"20","12.3499998897","12.3499998897","12.3499998897"
"21","5.689999938","5.689999938","5.689999938"
"22","5.689999938","5.689999938","5.689999938"
"23","16.5299999323","16.5299999323","16.5299999323"
"24","9.1099998951","9.1099998951","9.1099998951"
"25","9.1099998951","9.1099998951","9.1099998951"
"26","18.0299999248","18.0299999248","18.0299999248"
"27","18.0299999248","18.0299999248","18.0299999248"
"28","7.1199999228","7.1199999228","7.1199999228"
"29","7.1199999228","7.1199999228","7.1199999228"
"30","7.9799999148","7.9799999148","7.9799999148"
"31","7.9799999148","7.9799999148","7.9799999148"
"32","7.9799999148","7.9799999148","7.9799999148"
"33","14.4899997525","14.4899997525","14.4899997525"
"34","2.2499999497","2.2499999497","2.2499999497"
"35","3.5399999376","3.5399999376","3.5399999376"
"36","0.1199999973","0.1199999973","0.1199999973"
"37","0","0","0"
"38","0","0","0"
"39","0","0","0"
"40","0","0","0"
"41","0","0","0"
"42","0","0","0"
"43","2.9799999781","2.9799999781","2.9799999781"
"44","0","0","0"
"45","0","0","0"
"46","0","0","0"
"47","0","0","0"
"48","0.0299999993","0.0299999993","0.0299999993"
"49","0","0","0"
"50","0","0","0"
"51","0","0","0"
"52","0","0","0"
"53","0","0","0"
"54","0","0","0"
"55","0","0","0"
"56","0","0","0"
"57","0","0","0"
"58","0","0","0"
"59","0","0","0"
"60","0","0","0"
"61","0","0","0"
"62","0","0","0"
"63","0","0","0"
"64","0","0","0"
"65","0","0","0"
"66","0","0","0"
"67","0","0","0"
"68","0","0","0"
"69","0.3499999922","0.3499999922","0.3499999922"
"70","0","0","0"
"71","0","0","0"
"72","0","0","0"
"73","0","0","0"
"74","0","0","0"
"75","0","0","0"
"76","0","0","0"
"77","0","0","0"
"78","0.0199999996","0.0199999996","0.0199999996"
"79","0","0","0"
"80","0.0199999996","0.0199999996","0.0199999996"
"81","0","0","0"
"82","0","0","0"
"83","0","0","0"
"84","0","0","0"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0.0099999998","0.0099999998","0.0099999998"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100","0","0","0"
"101","0","0","0"
"102","0","0","0"
"103","0","0","0"
"104","0","0","0"
"105","0","0","0"
"106","0","0","0"
"107","0","0","0"
"108","0","0","0"
"109","0","0","0"
"110","0","0","0"
"111","0","0","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","0","0","0"
"118","0","0","0"
"119","0","0","0"
"120","0","0","0"
"121","0","0","0"
"122","0","0","0"
"123","0","0","0"
