"Step","SAC_Double_critic_lidar - loss_critic","SAC_Double_critic_lidar - loss_critic__MIN","SAC_Double_critic_lidar - loss_critic__MAX"
"72","0.65472259","0.65472259","0.65472259"
"73","0.6635719043","0.6635719043","0.6635719043"
"74","0.6194205949","0.6194205949","0.6194205949"
"75","0.6224682872","0.6224682872","0.6224682872"
"76","0.6345994791","0.6345994791","0.6345994791"
"77","0.5987614714","0.5987614714","0.5987614714"
"78","0.6006779355","0.6006779355","0.6006779355"
"79","0.6307315296","0.6307315296","0.6307315296"
"80","0.5850238279","0.5850238279","0.5850238279"
"81","0.6160313517","0.6160313517","0.6160313517"
"82","0.6199449824","0.6199449824","0.6199449824"
"83","0.5832026939","0.5832026939","0.5832026939"
"84","0.564541131","0.564541131","0.564541131"
"85","0.5747724883","0.5747724883","0.5747724883"
"86","0.570957056","0.570957056","0.570957056"
"87","0.5522019692","0.5522019692","0.5522019692"
"88","0.5511842164","0.5511842164","0.5511842164"
"89","0.622648337","0.622648337","0.622648337"
"90","0.5986574654","0.5986574654","0.5986574654"
"91","0.5861904092","0.5861904092","0.5861904092"
"92","0.56796715","0.56796715","0.56796715"
"93","0.5547378851","0.5547378851","0.5547378851"
"94","0.5302405153","0.5302405153","0.5302405153"
"95","0.5272950235","0.5272950235","0.5272950235"
"96","0.4965524331","0.4965524331","0.4965524331"
"97","0.5136072586","0.5136072586","0.5136072586"
"98","0.5070040528","0.5070040528","0.5070040528"
"99","0.5013268201","0.5013268201","0.5013268201"
"100","0.4686035222","0.4686035222","0.4686035222"
"101","0.4904244975","0.4904244975","0.4904244975"
"102","0.4713501824","0.4713501824","0.4713501824"
"103","0.4640495892","0.4640495892","0.4640495892"
"104","0.4541497837","0.4541497837","0.4541497837"
"105","0.4296140393","0.4296140393","0.4296140393"
"106","0.4316922566","0.4316922566","0.4316922566"
"107","0.429318144","0.429318144","0.429318144"
"108","0.4327019431","0.4327019431","0.4327019431"
"109","0.4286115822","0.4286115822","0.4286115822"
"110","0.4142092661","0.4142092661","0.4142092661"
"111","0.4008524329","0.4008524329","0.4008524329"
"112","0.3874480642","0.3874480642","0.3874480642"
"113","0.403611432","0.403611432","0.403611432"
"114","0.3715934173","0.3715934173","0.3715934173"
"115","0.3828739884","0.3828739884","0.3828739884"
"116","0.3733582836","0.3733582836","0.3733582836"
"117","0.371955976","0.371955976","0.371955976"
"118","0.3572875563","0.3572875563","0.3572875563"
"119","0.3592818473","0.3592818473","0.3592818473"
"120","0.3439015066","0.3439015066","0.3439015066"
"121","0.3324173932","0.3324173932","0.3324173932"
"122","0.3355203476","0.3355203476","0.3355203476"
"123","0.3206296163","0.3206296163","0.3206296163"
"124","0.3140500489","0.3140500489","0.3140500489"
"125","0.2979708269","0.2979708269","0.2979708269"
"126","0.2977891755","0.2977891755","0.2977891755"
"127","0.2985502936","0.2985502936","0.2985502936"
"128","0.2913742624","0.2913742624","0.2913742624"
"129","0.2949077734","0.2949077734","0.2949077734"
"130","0.2781095389","0.2781095389","0.2781095389"
"131","0.2707999273","0.2707999273","0.2707999273"
"132","0.2705458745","0.2705458745","0.2705458745"
"133","0.2726980319","0.2726980319","0.2726980319"
"134","0.2762785186","0.2762785186","0.2762785186"
"135","0.2641049849","0.2641049849","0.2641049849"
"136","0.2552107883","0.2552107883","0.2552107883"
"137","0.246678396","0.246678396","0.246678396"
"138","0.2383743615","0.2383743615","0.2383743615"
"139","0.2366581202","0.2366581202","0.2366581202"
"140","0.242741782","0.242741782","0.242741782"
"141","0.2328028963","0.2328028963","0.2328028963"
"142","0.216687347","0.216687347","0.216687347"
"143","0.226592172","0.226592172","0.226592172"
"144","0.2259149084","0.2259149084","0.2259149084"
"145","0.2192855559","0.2192855559","0.2192855559"
"146","0.2083181869","0.2083181869","0.2083181869"
"147","0.2057569949","0.2057569949","0.2057569949"
"148","0.2152530684","0.2152530684","0.2152530684"
"149","0.2020584434","0.2020584434","0.2020584434"
"150","0.1995744552","0.1995744552","0.1995744552"
"151","0.190363475","0.190363475","0.190363475"
"152","0.1969669015","0.1969669015","0.1969669015"
"153","0.193672929","0.193672929","0.193672929"
"154","0.180964402","0.180964402","0.180964402"
"155","0.1826093003","0.1826093003","0.1826093003"
"156","0.1828771875","0.1828771875","0.1828771875"
"157","0.1709087244","0.1709087244","0.1709087244"
"158","0.1646575642","0.1646575642","0.1646575642"
"159","0.1681767095","0.1681767095","0.1681767095"
"160","0.1748185519","0.1748185519","0.1748185519"
"161","0.1666245366","0.1666245366","0.1666245366"
"162","0.16447276","0.16447276","0.16447276"
"163","0.1584847136","0.1584847136","0.1584847136"
"164","0.1594986561","0.1594986561","0.1594986561"
"165","0.1477592859","0.1477592859","0.1477592859"
"166","0.1520763763","0.1520763763","0.1520763763"
"167","0.1506943638","0.1506943638","0.1506943638"
"168","0.1474652292","0.1474652292","0.1474652292"
"169","0.1486233158","0.1486233158","0.1486233158"
"170","0.1487493005","0.1487493005","0.1487493005"
"171","0.1453397314","0.1453397314","0.1453397314"
"172","0.1371812009","0.1371812009","0.1371812009"
"173","0.1338514216","0.1338514216","0.1338514216"
"174","0.1312705472","0.1312705472","0.1312705472"
"175","0.1340015393","0.1340015393","0.1340015393"
"176","0.1330799428","0.1330799428","0.1330799428"
"177","0.1277393293","0.1277393293","0.1277393293"
"178","0.1279064367","0.1279064367","0.1279064367"
"179","0.122467043","0.122467043","0.122467043"
"180","0.1246541617","0.1246541617","0.1246541617"
"181","0.1185373192","0.1185373192","0.1185373192"
"182","0.12662188","0.12662188","0.12662188"
"183","0.1125734192","0.1125734192","0.1125734192"
"184","0.1160476791","0.1160476791","0.1160476791"
"185","0.1121270533","0.1121270533","0.1121270533"
"186","0.1083848322","0.1083848322","0.1083848322"
"187","0.1083803895","0.1083803895","0.1083803895"
"188","0.1024072825","0.1024072825","0.1024072825"
"189","0.1021326587","0.1021326587","0.1021326587"
"190","0.1124471194","0.1124471194","0.1124471194"
"191","0.1036266682","0.1036266682","0.1036266682"
"192","0.0990482146","0.0990482146","0.0990482146"
"193","0.0963830805","0.0963830805","0.0963830805"
"194","0.0974331508","0.0974331508","0.0974331508"
"195","0.0977269123","0.0977269123","0.0977269123"
"196","0.09969126","0.09969126","0.09969126"
"197","0.0903343683","0.0903343683","0.0903343683"
"198","0.091418704","0.091418704","0.091418704"
"199","0.0886878041","0.0886878041","0.0886878041"
"200","0.0854814879","0.0854814879","0.0854814879"
"201","0.0853528706","0.0853528706","0.0853528706"
"202","0.0905724824","0.0905724824","0.0905724824"
"203","0.0826101392","0.0826101392","0.0826101392"
"204","0.0833774214","0.0833774214","0.0833774214"
"205","0.0844971909","0.0844971909","0.0844971909"
"206","0.0843234382","0.0843234382","0.0843234382"
"207","0.0792696449","0.0792696449","0.0792696449"
"208","0.0806992728","0.0806992728","0.0806992728"
"209","0.0749659575","0.0749659575","0.0749659575"
"210","0.0794281957","0.0794281957","0.0794281957"
"211","0.0786210949","0.0786210949","0.0786210949"
"212","0.0746886161","0.0746886161","0.0746886161"
"213","0.0765030301","0.0765030301","0.0765030301"
"214","0.0726314489","0.0726314489","0.0726314489"
"215","0.071436709","0.071436709","0.071436709"
"216","0.0720496161","0.0720496161","0.0720496161"
"217","0.0730569547","0.0730569547","0.0730569547"
"218","0.0700285156","0.0700285156","0.0700285156"
"219","0.0707226171","0.0707226171","0.0707226171"
"220","0.0643167733","0.0643167733","0.0643167733"
"221","0.0665816375","0.0665816375","0.0665816375"
"222","0.0652293147","0.0652293147","0.0652293147"
"223","0.0693416566","0.0693416566","0.0693416566"
"224","0.0642332176","0.0642332176","0.0642332176"
"225","0.0619159215","0.0619159215","0.0619159215"
"226","0.0625083722","0.0625083722","0.0625083722"
"227","0.0593474259","0.0593474259","0.0593474259"
"228","0.0564309917","0.0564309917","0.0564309917"
"229","0.0575632544","0.0575632544","0.0575632544"
"230","0.0579287455","0.0579287455","0.0579287455"
"231","0.0576980329","0.0576980329","0.0576980329"
"232","0.0578718916","0.0578718916","0.0578718916"
"233","0.0525287665","0.0525287665","0.0525287665"
"234","0.052980752","0.052980752","0.052980752"
"235","0.0536282181","0.0536282181","0.0536282181"
"236","0.0530298711","0.0530298711","0.0530298711"
"237","0.0560782497","0.0560782497","0.0560782497"
"238","0.0501350893","0.0501350893","0.0501350893"
"239","0.0504308428","0.0504308428","0.0504308428"
"240","0.0510459688","0.0510459688","0.0510459688"
"241","0.0524329394","0.0524329394","0.0524329394"
"242","0.0484904004","0.0484904004","0.0484904004"
"243","0.0490540043","0.0490540043","0.0490540043"
"244","0.0472094558","0.0472094558","0.0472094558"
"245","0.0480813968","0.0480813968","0.0480813968"
"246","0.045676015","0.045676015","0.045676015"
