"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"66","0.1950486401","0.1950486401","0.1950486401"
"67","0.213436884","0.213436884","0.213436884"
"68","0.16917124","0.16917124","0.16917124"
"69","0.1486072262","0.1486072262","0.1486072262"
"70","0.2271398558","0.2271398558","0.2271398558"
"71","0.1542558018","0.1542558018","0.1542558018"
"72","0.2726570858","0.2726570858","0.2726570858"
"73","0.1970505778","0.1970505778","0.1970505778"
"74","0.1960738631","0.1960738631","0.1960738631"
"75","0.1604193323","0.1604193323","0.1604193323"
"76","0.1808062809","0.1808062809","0.1808062809"
"77","0.1511999621","0.1511999621","0.1511999621"
"78","0.1505920784","0.1505920784","0.1505920784"
"79","0.143089604","0.143089604","0.143089604"
"80","0.1375899926","0.1375899926","0.1375899926"
"81","0.1204074914","0.1204074914","0.1204074914"
"82","0.1729675094","0.1729675094","0.1729675094"
"83","0.1358660387","0.1358660387","0.1358660387"
"84","0.1336086483","0.1336086483","0.1336086483"
"85","0.120238767","0.120238767","0.120238767"
"86","0.1958630262","0.1958630262","0.1958630262"
"87","0.1187595404","0.1187595404","0.1187595404"
"88","0.1846390535","0.1846390535","0.1846390535"
"89","0.137117286","0.137117286","0.137117286"
"90","0.1649110839","0.1649110839","0.1649110839"
"91","0.1202485733","0.1202485733","0.1202485733"
"92","0.1159458094","0.1159458094","0.1159458094"
"93","0.1820709323","0.1820709323","0.1820709323"
"94","0.1214167326","0.1214167326","0.1214167326"
"95","0.1823834648","0.1823834648","0.1823834648"
"96","0.1365367352","0.1365367352","0.1365367352"
"97","0.1924198695","0.1924198695","0.1924198695"
"98","0.1221789221","0.1221789221","0.1221789221"
"99","0.1145519617","0.1145519617","0.1145519617"
"100","0.1016312442","0.1016312442","0.1016312442"
"101","0.1472422422","0.1472422422","0.1472422422"
"102","0.1017503226","0.1017503226","0.1017503226"
"103","0.1615395753","0.1615395753","0.1615395753"
"104","0.1157565773","0.1157565773","0.1157565773"
"105","0.1487067972","0.1487067972","0.1487067972"
"106","0.1188222711","0.1188222711","0.1188222711"
"107","0.129041944","0.129041944","0.129041944"
"108","0.1174691669","0.1174691669","0.1174691669"
"109","0.1402340619","0.1402340619","0.1402340619"
"110","0.1096681004","0.1096681004","0.1096681004"
"111","0.1089539056","0.1089539056","0.1089539056"
