"Step","SAC_short_test_track - loss_critic","SAC_short_test_track - loss_critic__MIN","SAC_short_test_track - loss_critic__MAX"
"127","0.0140186254","0.0140186254","0.0140186254"
"128","0.0137011937","0.0137011937","0.0137011937"
"129","0.0146185459","0.0146185459","0.0146185459"
"130","0.0142359487","0.0142359487","0.0142359487"
"131","0.0147187631","0.0147187631","0.0147187631"
"132","0.0140434463","0.0140434463","0.0140434463"
"133","0.0141230597","0.0141230597","0.0141230597"
"134","0.0143175216","0.0143175216","0.0143175216"
"135","0.0147980455","0.0147980455","0.0147980455"
"136","0.0150364155","0.0150364155","0.0150364155"
"137","0.0149428185","0.0149428185","0.0149428185"
"138","0.0148444745","0.0148444745","0.0148444745"
"139","0.0151976524","0.0151976524","0.0151976524"
"140","0.0151557946","0.0151557946","0.0151557946"
"141","0.0143239538","0.0143239538","0.0143239538"
"142","0.0151283568","0.0151283568","0.0151283568"
"143","0.0155464937","0.0155464937","0.0155464937"
"144","0.0145601466","0.0145601466","0.0145601466"
"145","0.0147344942","0.0147344942","0.0147344942"
"146","0.0146382308","0.0146382308","0.0146382308"
"147","0.0151096601","0.0151096601","0.0151096601"
"148","0.0148705608","0.0148705608","0.0148705608"
"149","0.0154562567","0.0154562567","0.0154562567"
"150","0.0151984513","0.0151984513","0.0151984513"
"151","0.0153398433","0.0153398433","0.0153398433"
"152","0.0154443162","0.0154443162","0.0154443162"
"153","0.0154989567","0.0154989567","0.0154989567"
"154","0.0157828197","0.0157828197","0.0157828197"
"155","0.0154543976","0.0154543976","0.0154543976"
"156","0.0160480946","0.0160480946","0.0160480946"
"157","0.0159647479","0.0159647479","0.0159647479"
"158","0.0159831062","0.0159831062","0.0159831062"
"159","0.0164643623","0.0164643623","0.0164643623"
"160","0.0161234521","0.0161234521","0.0161234521"
"161","0.0154006904","0.0154006904","0.0154006904"
"162","0.0171857635","0.0171857635","0.0171857635"
"163","0.0171508707","0.0171508707","0.0171508707"
"164","0.0173206336","0.0173206336","0.0173206336"
"165","0.0175539481","0.0175539481","0.0175539481"
"166","0.0171671877","0.0171671877","0.0171671877"
"167","0.0178866685","0.0178866685","0.0178866685"
"168","0.0177127878","0.0177127878","0.0177127878"
"169","0.0171984579","0.0171984579","0.0171984579"
"170","0.0173355786","0.0173355786","0.0173355786"
"171","0.0172198271","0.0172198271","0.0172198271"
"172","0.0179156723","0.0179156723","0.0179156723"
"173","0.0185883317","0.0185883317","0.0185883317"
"174","0.0183767773","0.0183767773","0.0183767773"
"175","0.0196560159","0.0196560159","0.0196560159"
"176","0.0167507214","0.0167507214","0.0167507214"
"177","0.0179142083","0.0179142083","0.0179142083"
"178","0.0201381136","0.0201381136","0.0201381136"
"179","0.018319318","0.018319318","0.018319318"
"180","0.0188212507","0.0188212507","0.0188212507"
"181","0.0185027837","0.0185027837","0.0185027837"
"182","0.0191224708","0.0191224708","0.0191224708"
"183","0.0179795224","0.0179795224","0.0179795224"
"184","0.0191532391","0.0191532391","0.0191532391"
"185","0.0187783292","0.0187783292","0.0187783292"
"186","0.0195978358","0.0195978358","0.0195978358"
"187","0.0183906818","0.0183906818","0.0183906818"
"188","0.0191093872","0.0191093872","0.0191093872"
"189","0.0195233089","0.0195233089","0.0195233089"
"190","0.0189516447","0.0189516447","0.0189516447"
"191","0.020356493","0.020356493","0.020356493"
"192","0.0191603669","0.0191603669","0.0191603669"
"193","0.0195552504","0.0195552504","0.0195552504"
"194","0.0202288094","0.0202288094","0.0202288094"
"195","0.0194086346","0.0194086346","0.0194086346"
"196","0.0202694633","0.0202694633","0.0202694633"
"197","0.0195953844","0.0195953844","0.0195953844"
"198","0.0197588584","0.0197588584","0.0197588584"
"199","0.0188278292","0.0188278292","0.0188278292"
"200","0.0200724609","0.0200724609","0.0200724609"
"201","0.0200572603","0.0200572603","0.0200572603"
"202","0.0186571809","0.0186571809","0.0186571809"
"203","0.0194986522","0.0194986522","0.0194986522"
"204","0.0199746515","0.0199746515","0.0199746515"
"205","0.0195462532","0.0195462532","0.0195462532"
"206","0.0202743932","0.0202743932","0.0202743932"
"207","0.0207471126","0.0207471126","0.0207471126"
"208","0.0203638252","0.0203638252","0.0203638252"
"209","0.0194551656","0.0194551656","0.0194551656"
"210","0.0202179947","0.0202179947","0.0202179947"
"211","0.0193745017","0.0193745017","0.0193745017"
"212","0.0194037523","0.0194037523","0.0194037523"
"213","0.0189719097","0.0189719097","0.0189719097"
"214","0.0211042567","0.0211042567","0.0211042567"
"215","0.020273341","0.020273341","0.020273341"
"216","0.0205542755","0.0205542755","0.0205542755"
"217","0.0197335661","0.0197335661","0.0197335661"
"218","0.0205262606","0.0205262606","0.0205262606"
"219","0.0204442877","0.0204442877","0.0204442877"
"220","0.0209706874","0.0209706874","0.0209706874"
"221","0.0202450672","0.0202450672","0.0202450672"
"222","0.0199371292","0.0199371292","0.0199371292"
"223","0.0201364112","0.0201364112","0.0201364112"
"224","0.020257584","0.020257584","0.020257584"
"225","0.0201449379","0.0201449379","0.0201449379"
"226","0.0204905358","0.0204905358","0.0204905358"
"227","0.0198866126","0.0198866126","0.0198866126"
"228","0.0200424615","0.0200424615","0.0200424615"
"229","0.0200292841","0.0200292841","0.0200292841"
"230","0.0193684021","0.0193684021","0.0193684021"
"231","0.0199182552","0.0199182552","0.0199182552"
"232","0.0198276415","0.0198276415","0.0198276415"
"233","0.0204887446","0.0204887446","0.0204887446"
"234","0.0197125698","0.0197125698","0.0197125698"
"235","0.0206250166","0.0206250166","0.0206250166"
"236","0.0202485137","0.0202485137","0.0202485137"
"237","0.0204365405","0.0204365405","0.0204365405"
"238","0.0205980948","0.0205980948","0.0205980948"
"239","0.020119386","0.020119386","0.020119386"
"240","0.0198546031","0.0198546031","0.0198546031"
"241","0.020955792","0.020955792","0.020955792"
"242","0.0210646656","0.0210646656","0.0210646656"
"243","0.0210049916","0.0210049916","0.0210049916"
"244","0.0201041146","0.0201041146","0.0201041146"
"245","0.0214278879","0.0214278879","0.0214278879"
"246","0.0213580967","0.0213580967","0.0213580967"
"247","0.0207196833","0.0207196833","0.0207196833"
"248","0.0204105162","0.0204105162","0.0204105162"
"249","0.0200971288","0.0200971288","0.0200971288"
"250","0.0209853055","0.0209853055","0.0209853055"
"251","0.0199343021","0.0199343021","0.0199343021"
"252","0.0210250385","0.0210250385","0.0210250385"
"253","0.0211221932","0.0211221932","0.0211221932"
"254","0.4063892791","0.4063892791","0.4063892791"
"255","0.3926573662","0.3926573662","0.3926573662"
"256","0.0206938649","0.0206938649","0.0206938649"
"257","0.7426679696","0.7426679696","0.7426679696"
"258","1.7707112371","1.7707112371","1.7707112371"
"259","0.3710031371","0.3710031371","0.3710031371"
"260","1.9212305309","1.9212305309","1.9212305309"
"261","0.0470888845","0.0470888845","0.0470888845"
"262","1.1461318354","1.1461318354","1.1461318354"
"263","0.0546224588","0.0546224588","0.0546224588"
"264","0.5511890947","0.5511890947","0.5511890947"
"265","0.4942284738","0.4942284738","0.4942284738"
"266","0.0619502798","0.0619502798","0.0619502798"
"267","0.0493124007","0.0493124007","0.0493124007"
"268","0.4840856374","0.4840856374","0.4840856374"
"269","0.5232759211","0.5232759211","0.5232759211"
"270","0.4267345254","0.4267345254","0.4267345254"
"271","0.0847010203","0.0847010203","0.0847010203"
"272","0.0658067331","0.0658067331","0.0658067331"
"273","0.1188705845","0.1188705845","0.1188705845"
"274","0.1418805498","0.1418805498","0.1418805498"
"275","0.0606601804","0.0606601804","0.0606601804"
"276","0.1075141462","0.1075141462","0.1075141462"
"277","0.0672877541","0.0672877541","0.0672877541"
"278","0.0721568009","0.0721568009","0.0721568009"
"279","0.0656786632","0.0656786632","0.0656786632"
"280","0.0642774424","0.0642774424","0.0642774424"
"281","0.0648756255","0.0648756255","0.0648756255"
"282","0.0604797822","0.0604797822","0.0604797822"
"283","0.0687847752","0.0687847752","0.0687847752"
"284","0.0609313575","0.0609313575","0.0609313575"
"285","0.1293539434","0.1293539434","0.1293539434"
"286","0.0570862867","0.0570862867","0.0570862867"
"287","0.0837424018","0.0837424018","0.0837424018"
"288","0.0843693419","0.0843693419","0.0843693419"
"289","0.06189957","0.06189957","0.06189957"
"290","0.071367272","0.071367272","0.071367272"
"291","0.0708527826","0.0708527826","0.0708527826"
"292","0.0685126257","0.0685126257","0.0685126257"
"293","0.0601034341","0.0601034341","0.0601034341"
"294","0.068094155","0.068094155","0.068094155"
"295","0.0695048421","0.0695048421","0.0695048421"
"296","0.0636328069","0.0636328069","0.0636328069"
"297","0.0890142176","0.0890142176","0.0890142176"
"298","0.067715847","0.067715847","0.067715847"
"299","0.0842940073","0.0842940073","0.0842940073"
"300","0.0787814468","0.0787814468","0.0787814468"
"301","0.1277909054","0.1277909054","0.1277909054"
"302","0.0862449728","0.0862449728","0.0862449728"
"303","0.0542287453","0.0542287453","0.0542287453"
"304","0.0579533206","0.0579533206","0.0579533206"
"305","0.0879487779","0.0879487779","0.0879487779"
"306","0.0835261648","0.0835261648","0.0835261648"
"307","0.0530708468","0.0530708468","0.0530708468"
"308","0.0583958939","0.0583958939","0.0583958939"
"309","0.1120988958","0.1120988958","0.1120988958"
"310","0.0684135291","0.0684135291","0.0684135291"
"311","0.0601212413","0.0601212413","0.0601212413"
"312","0.0763317527","0.0763317527","0.0763317527"
"313","0.0498373544","0.0498373544","0.0498373544"
"314","0.1046364955","0.1046364955","0.1046364955"
"315","0.0490449602","0.0490449602","0.0490449602"
"316","0.0794514242","0.0794514242","0.0794514242"
"317","0.0595999048","0.0595999048","0.0595999048"
"318","0.0684072429","0.0684072429","0.0684072429"
"319","0.0691126228","0.0691126228","0.0691126228"
"320","0.0944216841","0.0944216841","0.0944216841"
"321","0.0636641449","0.0636641449","0.0636641449"
"322","0.0862450959","0.0862450959","0.0862450959"
"323","0.0575136417","0.0575136417","0.0575136417"
"324","0.1202496375","0.1202496375","0.1202496375"
"325","0.0804675766","0.0804675766","0.0804675766"
"326","0.1230944838","0.1230944838","0.1230944838"
"327","0.0684629105","0.0684629105","0.0684629105"
"328","0.0566609432","0.0566609432","0.0566609432"
"329","0.0635567685","0.0635567685","0.0635567685"
"330","0.0701247629","0.0701247629","0.0701247629"
"331","0.061721703","0.061721703","0.061721703"
"332","0.05024947","0.05024947","0.05024947"
"333","0.0691551663","0.0691551663","0.0691551663"
"334","0.0650601765","0.0650601765","0.0650601765"
"335","0.0699478703","0.0699478703","0.0699478703"
"336","0.0817588022","0.0817588022","0.0817588022"
"337","0.0909109407","0.0909109407","0.0909109407"
"338","0.0945930488","0.0945930488","0.0945930488"
"339","0.0762422492","0.0762422492","0.0762422492"
"340","0.0592191262","0.0592191262","0.0592191262"
"341","0.0799424588","0.0799424588","0.0799424588"
"342","0.078242423","0.078242423","0.078242423"
"343","0.04756963","0.04756963","0.04756963"
"344","0.0556850252","0.0556850252","0.0556850252"
"345","0.0828343666","0.0828343666","0.0828343666"
"346","0.4797068242","0.4797068242","0.4797068242"
"347","0.4898419725","0.4898419725","0.4898419725"
"348","0.0511618286","0.0511618286","0.0511618286"
"349","0.0961752303","0.0961752303","0.0961752303"
"350","0.0763091984","0.0763091984","0.0763091984"
"351","0.0880732683","0.0880732683","0.0880732683"
"352","0.0575455327","0.0575455327","0.0575455327"
"353","0.4632597497","0.4632597497","0.4632597497"
"354","0.1158657011","0.1158657011","0.1158657011"
"355","0.0862641781","0.0862641781","0.0862641781"
"356","0.442063074","0.442063074","0.442063074"
"357","0.8534574222","0.8534574222","0.8534574222"
"358","0.049462462","0.049462462","0.049462462"
"359","0.4184386974","0.4184386974","0.4184386974"
"360","0.0662242169","0.0662242169","0.0662242169"
"361","0.0539678945","0.0539678945","0.0539678945"
"362","0.8098244928","0.8098244928","0.8098244928"
"363","0.4486481547","0.4486481547","0.4486481547"
