"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"112","-1.7734019136","-1.7734019136","-1.7734019136"
"113","-1.7484054941","-1.7484054941","-1.7484054941"
"114","-1.71037718","-1.71037718","-1.71037718"
"115","-1.6983528048","-1.6983528048","-1.6983528048"
"116","-1.6544781363","-1.6544781363","-1.6544781363"
"117","-1.6064691621","-1.6064691621","-1.6064691621"
"118","-1.5718309653","-1.5718309653","-1.5718309653"
"119","-1.5349573022","-1.5349573022","-1.5349573022"
"120","-1.5185017556","-1.5185017556","-1.5185017556"
"121","-1.5150153172","-1.5150153172","-1.5150153172"
"122","-1.4746991533","-1.4746991533","-1.4746991533"
"123","-1.4450989836","-1.4450989836","-1.4450989836"
"124","-1.4276135433","-1.4276135433","-1.4276135433"
"125","-1.3898268801","-1.3898268801","-1.3898268801"
"126","-1.364859302","-1.364859302","-1.364859302"
"127","-1.3369077808","-1.3369077808","-1.3369077808"
"128","-1.3029498452","-1.3029498452","-1.3029498452"
"129","-1.2771254516","-1.2771254516","-1.2771254516"
"130","-1.2676560044","-1.2676560044","-1.2676560044"
"131","-1.2380453619","-1.2380453619","-1.2380453619"
"132","-1.2085733321","-1.2085733321","-1.2085733321"
"133","-1.1800267375","-1.1800267375","-1.1800267375"
"134","-1.1646806753","-1.1646806753","-1.1646806753"
"135","-1.1401218224","-1.1401218224","-1.1401218224"
"136","-1.121836724","-1.121836724","-1.121836724"
"137","-1.0778847018","-1.0778847018","-1.0778847018"
"138","-1.0586955968","-1.0586955968","-1.0586955968"
"139","-1.0418900558","-1.0418900558","-1.0418900558"
"140","-1.0173817468","-1.0173817468","-1.0173817468"
"141","-0.9994017431","-0.9994017431","-0.9994017431"
"142","-0.9704426399","-0.9704426399","-0.9704426399"
"143","-0.9622991729","-0.9622991729","-0.9622991729"
"144","-0.9388305515","-0.9388305515","-0.9388305515"
"145","-0.9150981647","-0.9150981647","-0.9150981647"
"146","-0.8954158884","-0.8954158884","-0.8954158884"
"147","-0.8788060406","-0.8788060406","-0.8788060406"
"148","-0.9737638417","-0.9737638417","-0.9737638417"
"149","-0.9880518886","-0.9880518886","-0.9880518886"
"150","-1.0559060517","-1.0559060517","-1.0559060517"
"151","-1.1034479234","-1.1034479234","-1.1034479234"
"152","-1.2028369391","-1.2028369391","-1.2028369391"
"153","-1.2175022015","-1.2175022015","-1.2175022015"
"154","-1.2486977947","-1.2486977947","-1.2486977947"
"155","-1.2515853345","-1.2515853345","-1.2515853345"
"156","-1.3114681488","-1.3114681488","-1.3114681488"
"157","-1.3319168597","-1.3319168597","-1.3319168597"
"158","-1.3610315299","-1.3610315299","-1.3610315299"
"159","-1.3707860208","-1.3707860208","-1.3707860208"
"160","-1.4241391611","-1.4241391611","-1.4241391611"
"161","-1.4449473572","-1.4449473572","-1.4449473572"
"162","-1.4597427654","-1.4597427654","-1.4597427654"
"163","-1.5038314158","-1.5038314158","-1.5038314158"
"164","-1.5211412895","-1.5211412895","-1.5211412895"
"165","-1.5458394027","-1.5458394027","-1.5458394027"
"166","-1.5645431787","-1.5645431787","-1.5645431787"
"167","-1.6041784275","-1.6041784275","-1.6041784275"
"168","-1.6526123679","-1.6526123679","-1.6526123679"
"169","-1.7043314695","-1.7043314695","-1.7043314695"
"170","-1.7098378372","-1.7098378372","-1.7098378372"
