"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"161","2.0599999819","2.0599999819","2.0599999819"
"162","2.0599999819","2.0599999819","2.0599999819"
"163","3.1499999668","3.1499999668","3.1499999668"
"164","3.1499999668","3.1499999668","3.1499999668"
"165","5.5999999773","5.5999999773","5.5999999773"
"166","5.5999999773","5.5999999773","5.5999999773"
"167","5.5999999773","5.5999999773","5.5999999773"
"168","9.179149962","9.179149962","9.179149962"
"169","12.2899999488","12.2899999488","12.2899999488"
"170","12.2899999488","12.2899999488","12.2899999488"
"171","12.2899999488","12.2899999488","12.2899999488"
"172","12.2899999488","12.2899999488","12.2899999488"
"173","13.8114999498","13.8114999498","13.8114999498"
"174","13.9899999499","13.9899999499","13.9899999499"
"175","13.9899999499","13.9899999499","13.9899999499"
"176","13.9899999499","13.9899999499","13.9899999499"
"177","14.6199999731","14.6199999731","14.6199999731"
"178","14.6199999731","14.6199999731","14.6199999731"
"179","14.6199999731","14.6199999731","14.6199999731"
"180","14.6199999731","14.6199999731","14.6199999731"
"181","16.7061998992","16.7061998992","16.7061998992"
"182","16.8999998923","16.8999998923","16.8999998923"
"183","16.8999998923","16.8999998923","16.8999998923"
"184","16.8999998923","16.8999998923","16.8999998923"
"185","16.8999998923","16.8999998923","16.8999998923"
"186","16.8999998923","16.8999998923","16.8999998923"
"187","23.9882499918","23.9882499918","23.9882499918"
"188","24.1699999943","24.1699999943","24.1699999943"
"189","24.1699999943","24.1699999943","24.1699999943"
"190","24.1699999943","24.1699999943","24.1699999943"
"191","24.1699999943","24.1699999943","24.1699999943"
"192","24.1699999943","24.1699999943","24.1699999943"
"193","13.3399999868","13.3399999868","13.3399999868"
"194","13.3399999868","13.3399999868","13.3399999868"
"195","1.2699999791","1.2699999791","1.2699999791"
"196","1.2699999791","1.2699999791","1.2699999791"
"197","1.2699999791","1.2699999791","1.2699999791"
