,idle_time,round_time,return_train,episode_length_train,_runtime,return_test,training_step_duration,loss_critic,memory_len,loss_actor,sampling_duration,_timestamp,episode_length_test,_step
0,94.9289023876,103.055631876,0.0,81,982.4387519359589,0,0.0246752179,5.3084557873,1063,7.2137853718,0.0158105814,1716591876.649806,0,0
1,0.0,7.1440598965,0.0,81,982.4402606487274,0,0.0205532789,1.473031626,1145,6.9990800142,0.0150768566,1716591876.6513147,0,2
2,0.0,7.6920077801,1.2499999721,94,982.4412689208984,0,0.0219494057,1.2298658532,1322,7.4159057307,0.0164283693,1716591876.652323,0,4
3,0.0,7.6336028576,1.0199999772,119,982.4422750473022,0,0.0216957808,1.0573034674,1442,7.6695881748,0.0163795781,1716591876.6533291,0,5
4,0.0,7.8829801083,1.3099999726,83,982.4422750473022,0,0.0219893444,0.9253707163,1526,7.8671008492,0.0173453832,1716591876.6533291,0,6
5,0.0,8.5126228333,6.4499998819,326,982.4442751407623,0,0.0241987872,1.0599531342,2243,8.960382247,0.0182587063,1716591876.6553292,0,11
6,0.0,9.4764313698,6.4499998819,326,982.4442751407623,0,0.0271770823,0.8024154459,2243,8.9718404913,0.0200895345,1716591876.6553292,0,12
7,0.0,9.2097620964,2.6999999397,173,982.4452748298645,0,0.0262217498,0.8461802997,2417,9.2091236687,0.0197335339,1716591876.656329,0,13
8,0.0,8.759305954,2.6999999397,173,982.4462752342224,0,0.0250871003,0.6555692613,2417,9.3178027582,0.0186031783,1716591876.6573293,0,16
9,0.0,10.0013964176,12.3499998897,333,982.4482748508453,0,0.028382504,0.6708778454,3651,9.3102336025,0.021501801,1716591876.659329,0,20
10,0.0,9.7549829483,9.1099998951,268,982.4497814178467,0,0.0274507415,0.766538921,4414,9.7838134813,0.0212389755,1716591876.6608355,0,24
11,0.0,9.487937212,9.1099998951,268,982.4497814178467,0,0.0271646607,0.6501841819,4414,9.8415941715,0.0201729083,1716591876.6608355,0,25
12,0.0,9.9620056152,18.0299999248,333,982.450790643692,0,0.0283241296,0.634231227,4748,10.1460163784,0.0213015521,1716591876.6618447,0,27
13,0.0,9.8547067642,0.1199999973,93,982.4537990093231,0,0.0280960381,0.6694592485,6342,10.7039964533,0.0210965168,1716591876.664853,0,36
14,0.0,9.390942812,0.0,81,982.454797744751,0,0.0269670022,0.6528636762,6424,10.6125761747,0.0198853731,1716591876.6658518,0,37
15,0.0,8.938863039,0.0,81,982.4558029174805,0,0.0264096856,0.6537746434,6670,10.4943659925,0.0181843793,1716591876.666857,0,39
16,0.0,7.3425219059,2.9799999781,149,982.457798242569,0,0.021053865,0.8825764151,7148,10.1738699627,0.0155756569,1716591876.6688523,0,43
17,0.0,7.3903961182,0.0,81,982.457798242569,0,0.0214181983,0.6355302241,7230,10.0475049353,0.0154661,1716591876.6688523,0,44
18,0.0,10.3601539135,0.0,81,982.4587969779968,0,0.0253439319,0.8454015929,7476,9.811235652,0.026363982,1716591876.669851,0,46
19,0.0,8.7125592232,0.0,81,982.4613099098206,0,0.0246190417,0.8830691801,8050,9.5345157862,0.0188464177,1716591876.672364,0,51
20,0.0,8.0583300591,0.0,81,982.4613099098206,0,0.0234713173,0.8445127273,8132,9.4601861143,0.016735183,1716591876.672364,0,52
21,0.0,8.2483885288,0.0,81,982.4623095989227,0,0.0235668135,0.8529512262,8214,9.4159939814,0.0175398707,1716591876.6733637,0,53
22,0.0,8.3801386356,0.0,81,982.4633159637451,0,0.024241066,0.8890488443,8542,9.2597606182,0.0175669122,1716591876.67437,0,56
23,0.0,8.1835956573,0.0,81,982.4643177986145,0,0.0234377146,0.7923304047,8788,9.0837828827,0.0173806763,1716591876.675372,0,58
24,0.0,9.2909767628,0.0,81,982.4653182029724,0,0.0261893594,0.6910789706,9034,8.986078124,0.0201223147,1716591876.6763723,0,60
25,0.0,8.0373032093,0.0,81,982.466317653656,0,0.0233208227,0.7070939058,9116,8.9134728193,0.0167729914,1716591876.6773717,0,61
26,0.0,8.4951653481,0.0,81,982.466317653656,0,0.0244212413,0.7059340636,9362,8.8012712812,0.0179544461,1716591876.6773717,0,63
27,0.0,8.6369483471,0.0,81,982.4673173427582,0,0.0248170757,0.690787624,9526,8.7085182858,0.0182799435,1716591876.6783714,0,65
28,0.0,8.3413660526,0.0,81,982.4683153629303,0,0.0238774621,0.6490105776,9772,8.5824789667,0.0177618027,1716591876.6793694,0,67
29,0.0,8.4993786812,0.0,81,982.4683153629303,0,0.0244666028,0.6599856739,9854,8.5231780076,0.0179376638,1716591876.6793694,0,68
30,0.0,8.889605999,0.0,81,982.469822883606,0,0.0254432428,0.7166493426,10118,8.463325994,0.0189117897,1716591876.680877,0,70
31,0.0,8.5564706326,0.0,81,982.4708325862885,0,0.0244624257,0.6244604948,10200,8.4147185278,0.0181971681,1716591876.6818867,0,71
32,0.0,8.4537501335,0.0,81,982.4728319644928,0,0.0241378856,0.6224682872,10692,8.1658319092,0.0180116475,1716591876.683886,0,75
33,0.0,8.674321413,0.0,81,982.4728319644928,0,0.0246551561,0.6345994791,10856,8.1485999393,0.0185987175,1716591876.683886,0,76
34,0.0,8.3829772472,0.0199999996,81,982.473840713501,0,0.0235304034,0.6006779355,11020,8.0370796967,0.018281225,1716591876.6848948,0,78
35,0.0,8.1615152359,0.0199999996,81,982.4748387336731,0,0.0234934497,0.5850238279,11266,7.927836194,0.0172340274,1716591876.6858928,0,80
36,0.0,8.2753415108,0.0,81,982.4748387336731,0,0.0238554084,0.6160313517,11348,7.8711053085,0.0174105346,1716591876.6858928,0,81
37,0.0,8.6658537388,0.0,81,982.4748387336731,0,0.0244993091,0.6199449824,11512,7.802229836,0.018709687,1716591876.6858928,0,82
