"Step","SAC_single_critic_short_test_track_LIDAR - return_train","SAC_single_critic_short_test_track_LIDAR - return_train__MIN","SAC_single_critic_short_test_track_LIDAR - return_train__MAX"
"55","1.7199999709","1.7199999709","1.7199999709"
"56","1.7199999709","1.7199999709","1.7199999709"
"57","1.7199999709","1.7199999709","1.7199999709"
"58","1.7199999709","1.7199999709","1.7199999709"
"59","1.7199999709","1.7199999709","1.7199999709"
"60","1.7199999709","1.7199999709","1.7199999709"
"61","1.7199999709","1.7199999709","1.7199999709"
"62","14.9399997238","14.9399997238","14.9399997238"
"63","14.9399997238","14.9399997238","14.9399997238"
"64","1.1099999752","1.1099999752","1.1099999752"
"65","1.1099999752","1.1099999752","1.1099999752"
"66","1.1099999752","1.1099999752","1.1099999752"
"67","1.1099999752","1.1099999752","1.1099999752"
"68","1.1099999752","1.1099999752","1.1099999752"
"69","16.5099999029","16.5099999029","16.5099999029"
"70","16.5099999029","16.5099999029","16.5099999029"
"71","1.7399999853","1.7399999853","1.7399999853"
"72","1.7399999853","1.7399999853","1.7399999853"
"73","1.7399999853","1.7399999853","1.7399999853"
"74","1.7399999853","1.7399999853","1.7399999853"
"75","1.7399999853","1.7399999853","1.7399999853"
"76","1.7399999853","1.7399999853","1.7399999853"
"77","1.7399999853","1.7399999853","1.7399999853"
"78","1.7399999853","1.7399999853","1.7399999853"
"79","1.7399999853","1.7399999853","1.7399999853"
"80","1.7399999853","1.7399999853","1.7399999853"
"81","1.7399999853","1.7399999853","1.7399999853"
"82","1.7399999853","1.7399999853","1.7399999853"
"83","1.7399999853","1.7399999853","1.7399999853"
"84","1.7399999853","1.7399999853","1.7399999853"
"85","148.2899997849","148.2899997849","148.2899997849"
"86","148.2899997849","148.2899997849","148.2899997849"
"87","4.0399999786","4.0399999786","4.0399999786"
"88","4.0399999786","4.0399999786","4.0399999786"
"89","3.509999983","3.509999983","3.509999983"
"90","3.509999983","3.509999983","3.509999983"
"91","7.4599999506","7.4599999506","7.4599999506"
"92","7.4599999506","7.4599999506","7.4599999506"
"93","7.4599999506","7.4599999506","7.4599999506"
"94","6.2499999423","6.2499999423","6.2499999423"
"95","6.2499999423","6.2499999423","6.2499999423"
"96","1.8699999731","1.8699999731","1.8699999731"
"97","1.899999978","1.899999978","1.899999978"
"98","1.899999978","1.899999978","1.899999978"
"99","1.5899999719","1.5899999719","1.5899999719"
"100","1.5899999719","1.5899999719","1.5899999719"
"101","1.4299999755","1.4299999755","1.4299999755"
"102","1.4299999755","1.4299999755","1.4299999755"
"103","1.189999979","1.189999979","1.189999979"
"104","1.3099999744","1.3099999744","1.3099999744"
"105","1.3099999744","1.3099999744","1.3099999744"
"106","1.3099999763","1.3099999763","1.3099999763"
"107","1.3099999763","1.3099999763","1.3099999763"
"108","1.2899999823","1.2899999823","1.2899999823"
"109","1.2899999823","1.2899999823","1.2899999823"
"110","1.4099999759","1.4099999759","1.4099999759"
"111","1.4099999759","1.4099999759","1.4099999759"
"112","1.4399999809","1.4399999809","1.4399999809"
"113","1.369999988","1.369999988","1.369999988"
"114","1.369999988","1.369999988","1.369999988"
"115","1.3099999782","1.3099999782","1.3099999782"
"116","1.3099999782","1.3099999782","1.3099999782"
"117","1.3099999782","1.3099999782","1.3099999782"
"118","1.3099999782","1.3099999782","1.3099999782"
"119","1.3099999782","1.3099999782","1.3099999782"
"120","1.3099999782","1.3099999782","1.3099999782"
"121","1.3099999782","1.3099999782","1.3099999782"
"122","1.3099999782","1.3099999782","1.3099999782"
"123","1.3099999782","1.3099999782","1.3099999782"
"124","1.3099999782","1.3099999782","1.3099999782"
"125","1.3099999782","1.3099999782","1.3099999782"
"126","148.2899999991","148.2899999991","148.2899999991"
"127","1.3099999856","1.3099999856","1.3099999856"
"128","1.3099999856","1.3099999856","1.3099999856"
"129","1.3099999856","1.3099999856","1.3099999856"
"130","1.3099999856","1.3099999856","1.3099999856"
"131","1.3099999856","1.3099999856","1.3099999856"
"132","1.3099999856","1.3099999856","1.3099999856"
"133","1.3099999856","1.3099999856","1.3099999856"
"134","1.3099999856","1.3099999856","1.3099999856"
"135","1.3099999856","1.3099999856","1.3099999856"
"136","1.3099999856","1.3099999856","1.3099999856"
"137","1.3099999856","1.3099999856","1.3099999856"
"138","1.3099999856","1.3099999856","1.3099999856"
"139","148.2899999209","148.2899999209","148.2899999209"
"140","148.2899999209","148.2899999209","148.2899999209"
"141","1.5599999744","1.5599999744","1.5599999744"
"142","1.5599999744","1.5599999744","1.5599999744"
"143","1.619999975","1.619999975","1.619999975"
"144","1.619999975","1.619999975","1.619999975"
"145","1.6299999822","1.6299999822","1.6299999822"
"146","1.6299999822","1.6299999822","1.6299999822"
"147","1.6299999822","1.6299999822","1.6299999822"
"148","1.6299999822","1.6299999822","1.6299999822"
"149","1.6299999822","1.6299999822","1.6299999822"
"150","1.6299999822","1.6299999822","1.6299999822"
"151","1.6299999822","1.6299999822","1.6299999822"
"152","1.6299999822","1.6299999822","1.6299999822"
"153","1.6299999822","1.6299999822","1.6299999822"
"154","1.6299999822","1.6299999822","1.6299999822"
"155","148.2899998669","148.2899998669","148.2899998669"
"156","148.2899998669","148.2899998669","148.2899998669"
"157","2.4299999606","2.4299999606","2.4299999606"
"158","2.4299999606","2.4299999606","2.4299999606"
"159","7.299999984","7.299999984","7.299999984"
"160","7.299999984","7.299999984","7.299999984"
"161","7.299999984","7.299999984","7.299999984"
"162","7.299999984","7.299999984","7.299999984"
"163","7.299999984","7.299999984","7.299999984"
"164","7.299999984","7.299999984","7.299999984"
"165","14.1699998975","14.1699998975","14.1699998975"
"166","14.1699998975","14.1699998975","14.1699998975"
"167","7.1999999881","7.1999999881","7.1999999881"
"168","7.1999999881","7.1999999881","7.1999999881"
"169","7.1999999881","7.1999999881","7.1999999881"
"170","7.1999999881","7.1999999881","7.1999999881"
"171","7.1999999881","7.1999999881","7.1999999881"
"172","7.1999999881","7.1999999881","7.1999999881"
"173","15.7299999334","15.7299999334","15.7299999334"
"174","15.7299999334","15.7299999334","15.7299999334"
"175","15.7299999334","15.7299999334","15.7299999334"
"176","15.7299999334","15.7299999334","15.7299999334"
"177","15.7299999334","15.7299999334","15.7299999334"
"178","15.7299999334","15.7299999334","15.7299999334"
"179","15.7299999334","15.7299999334","15.7299999334"
"180","15.7299999334","15.7299999334","15.7299999334"
"181","148.2899998724","148.2899998724","148.2899998724"
"182","148.2899998724","148.2899998724","148.2899998724"
"183","148.2899998724","148.2899998724","148.2899998724"
"184","148.2899998724","148.2899998724","148.2899998724"
"185","148.2899998724","148.2899998724","148.2899998724"
"186","148.2899998724","148.2899998724","148.2899998724"
"187","148.2899998724","148.2899998724","148.2899998724"
"188","148.2899998724","148.2899998724","148.2899998724"
"189","148.2899998724","148.2899998724","148.2899998724"
"190","148.2899998724","148.2899998724","148.2899998724"
"191","148.2899999265","148.2899999265","148.2899999265"
"192","148.2899999265","148.2899999265","148.2899999265"
"193","6.7799999677","6.7799999677","6.7799999677"
"194","6.7799999677","6.7799999677","6.7799999677"
"195","6.7799999677","6.7799999677","6.7799999677"
"196","6.7799999677","6.7799999677","6.7799999677"
"197","6.7799999677","6.7799999677","6.7799999677"
"198","6.7799999677","6.7799999677","6.7799999677"
"199","20.5499998964","20.5499998964","20.5499998964"
"200","20.5499998964","20.5499998964","20.5499998964"
"201","20.5499998964","20.5499998964","20.5499998964"
"202","20.5499998964","20.5499998964","20.5499998964"
"203","20.5499998964","20.5499998964","20.5499998964"
"204","15.0799998902","15.0799998902","15.0799998902"
"205","15.0799998902","15.0799998902","15.0799998902"
"206","15.0799998902","15.0799998902","15.0799998902"
"207","15.0799998902","15.0799998902","15.0799998902"
"208","15.0799998902","15.0799998902","15.0799998902"
"209","15.0799998902","15.0799998902","15.0799998902"
"210","15.0799998902","15.0799998902","15.0799998902"
"211","24.3699998967","24.3699998967","24.3699998967"
"212","2.0199999753","2.0199999753","2.0199999753"
"213","2.0199999753","2.0199999753","2.0199999753"
"214","2.0199999753","2.0199999753","2.0199999753"
"215","2.0199999753","2.0199999753","2.0199999753"
"216","2.0199999753","2.0199999753","2.0199999753"
"217","23.0900000148","23.0900000148","23.0900000148"
"218","23.0900000148","23.0900000148","23.0900000148"
"219","5.3199999854","5.3199999854","5.3199999854"
"220","5.3199999854","5.3199999854","5.3199999854"
"221","5.3199999854","5.3199999854","5.3199999854"
"222","5.3199999854","5.3199999854","5.3199999854"
"223","5.3199999854","5.3199999854","5.3199999854"
"224","23.2799999453","23.2799999453","23.2799999453"
"225","23.2799999453","23.2799999453","23.2799999453"
"226","23.2799999453","23.2799999453","23.2799999453"
"227","23.2799999453","23.2799999453","23.2799999453"
"228","23.2799999453","23.2799999453","23.2799999453"
"229","23.2799999453","23.2799999453","23.2799999453"
"230","23.2799999453","23.2799999453","23.2799999453"
"231","23.709999891","23.709999891","23.709999891"
"232","23.709999891","23.709999891","23.709999891"
"233","23.709999891","23.709999891","23.709999891"
"234","23.709999891","23.709999891","23.709999891"
"235","23.709999891","23.709999891","23.709999891"
"236","23.709999891","23.709999891","23.709999891"
"237","25.1299999226","25.1299999226","25.1299999226"
"238","25.1299999226","25.1299999226","25.1299999226"
"239","25.1299999226","25.1299999226","25.1299999226"
"240","25.1299999226","25.1299999226","25.1299999226"
"241","25.1299999226","25.1299999226","25.1299999226"
"242","25.1299999226","25.1299999226","25.1299999226"
"243","23.899999924","23.899999924","23.899999924"
"244","23.899999924","23.899999924","23.899999924"
"245","23.899999924","23.899999924","23.899999924"
"246","23.899999924","23.899999924","23.899999924"
"247","23.899999924","23.899999924","23.899999924"
"248","23.899999924","23.899999924","23.899999924"
"249","23.899999924","23.899999924","23.899999924"
"250","26.8899999335","26.8899999335","26.8899999335"
"251","26.8899999335","26.8899999335","26.8899999335"
"252","26.8899999335","26.8899999335","26.8899999335"
"253","26.8899999335","26.8899999335","26.8899999335"
"254","26.8899999335","26.8899999335","26.8899999335"
"255","22.1899999417","22.1899999417","22.1899999417"
"256","22.1899999417","22.1899999417","22.1899999417"
"257","2.0399999712","2.0399999712","2.0399999712"
"258","2.0399999712","2.0399999712","2.0399999712"
"259","1.1799999736","1.1799999736","1.1799999736"
"260","1.4399999678","1.4399999678","1.4399999678"
"261","1.4399999678","1.4399999678","1.4399999678"
"262","1.4399999678","1.4399999678","1.4399999678"
"263","1.4399999678","1.4399999678","1.4399999678"
"264","1.4399999678","1.4399999678","1.4399999678"
"265","19.8599998523","19.8599998523","19.8599998523"
"266","19.8599998523","19.8599998523","19.8599998523"
"267","19.8599998523","19.8599998523","19.8599998523"
"268","19.8599998523","19.8599998523","19.8599998523"
"269","19.8599998523","19.8599998523","19.8599998523"
"270","19.8599998523","19.8599998523","19.8599998523"
"271","19.8599998523","19.8599998523","19.8599998523"
"272","19.8599998523","19.8599998523","19.8599998523"
"273","25.4399999008","25.4399999008","25.4399999008"
"274","25.4399999008","25.4399999008","25.4399999008"
"275","2.1499999668","2.1499999668","2.1499999668"
"276","2.1499999668","2.1499999668","2.1499999668"
"277","2.1499999668","2.1499999668","2.1499999668"
"278","2.1499999668","2.1499999668","2.1499999668"
"279","2.1499999668","2.1499999668","2.1499999668"
"280","2.1499999668","2.1499999668","2.1499999668"
"281","2.1499999668","2.1499999668","2.1499999668"
"282","2.1499999668","2.1499999668","2.1499999668"
"283","2.1499999668","2.1499999668","2.1499999668"
"284","148.2900021467","148.2900021467","148.2900021467"
"285","148.2900021467","148.2900021467","148.2900021467"
"286","148.2900021467","148.2900021467","148.2900021467"
"287","148.2900021467","148.2900021467","148.2900021467"
"288","148.2900021467","148.2900021467","148.2900021467"
"289","148.2900021467","148.2900021467","148.2900021467"
"290","26.8499999065","26.8499999065","26.8499999065"
"291","26.8499999065","26.8499999065","26.8499999065"
"292","2.749999987","2.749999987","2.749999987"
"293","2.749999987","2.749999987","2.749999987"
"294","2.749999987","2.749999987","2.749999987"
"295","2.749999987","2.749999987","2.749999987"
"296","2.749999987","2.749999987","2.749999987"
"297","2.749999987","2.749999987","2.749999987"
"298","2.749999987","2.749999987","2.749999987"
"299","26.2499999236","26.2499999236","26.2499999236"
"300","26.2499999236","26.2499999236","26.2499999236"
"301","26.2499999236","26.2499999236","26.2499999236"
"302","26.2499999236","26.2499999236","26.2499999236"
"303","26.2499999236","26.2499999236","26.2499999236"
"304","26.2499999236","26.2499999236","26.2499999236"
"305","26.2499999236","26.2499999236","26.2499999236"
"306","26.2499999236","26.2499999236","26.2499999236"
"307","44.03999996","44.03999996","44.03999996"
"308","44.03999996","44.03999996","44.03999996"
"309","44.03999996","44.03999996","44.03999996"
"310","44.03999996","44.03999996","44.03999996"
"311","44.03999996","44.03999996","44.03999996"
"312","44.03999996","44.03999996","44.03999996"
"313","35.409999948","35.409999948","35.409999948"
"314","35.409999948","35.409999948","35.409999948"
"315","35.409999948","35.409999948","35.409999948"
"316","2.6699999552","2.6699999552","2.6699999552"
"317","2.8599999696","2.8599999696","2.8599999696"
"318","2.8599999696","2.8599999696","2.8599999696"
"319","2.8599999696","2.8599999696","2.8599999696"
"320","2.8599999696","2.8599999696","2.8599999696"
"321","2.8599999696","2.8599999696","2.8599999696"
"322","2.8599999696","2.8599999696","2.8599999696"
"323","2.8599999696","2.8599999696","2.8599999696"
"324","2.8599999696","2.8599999696","2.8599999696"
"325","2.8599999696","2.8599999696","2.8599999696"
"326","2.8599999696","2.8599999696","2.8599999696"
"327","148.2000016198","148.2000016198","148.2000016198"
"328","148.2000016198","148.2000016198","148.2000016198"
"329","148.2000016198","148.2000016198","148.2000016198"
"330","148.2000016198","148.2000016198","148.2000016198"
"331","148.2000016198","148.2000016198","148.2000016198"
"332","148.2000016198","148.2000016198","148.2000016198"
"333","148.2000016198","148.2000016198","148.2000016198"
"334","148.2000016198","148.2000016198","148.2000016198"
"335","148.2899986003","148.2899986003","148.2899986003"
"336","148.2899986003","148.2899986003","148.2899986003"
"337","148.2899986003","148.2899986003","148.2899986003"
"338","4.6899999622","4.6899999622","4.6899999622"
"339","4.6899999622","4.6899999622","4.6899999622"
"340","2.2699999642","2.2699999642","2.2699999642"
"341","2.2699999642","2.2699999642","2.2699999642"
"342","2.7799999695","2.7799999695","2.7799999695"
"343","2.2699999791","2.2699999791","2.2699999791"
"344","2.2699999791","2.2699999791","2.2699999791"
"345","2.2699999791","2.2699999791","2.2699999791"
"346","2.2699999791","2.2699999791","2.2699999791"
"347","2.2699999791","2.2699999791","2.2699999791"
"348","2.2699999791","2.2699999791","2.2699999791"
"349","29.0899998769","29.0899998769","29.0899998769"
"350","29.0899998769","29.0899998769","29.0899998769"
"351","29.0899998769","29.0899998769","29.0899998769"
"352","29.0899998769","29.0899998769","29.0899998769"
"353","29.0899998769","29.0899998769","29.0899998769"
"354","29.0899998769","29.0899998769","29.0899998769"
"355","29.0899998769","29.0899998769","29.0899998769"
"356","29.0899998769","29.0899998769","29.0899998769"
"357","42.4099998903","42.4099998903","42.4099998903"
"358","42.4099998903","42.4099998903","42.4099998903"
"359","42.4099998903","42.4099998903","42.4099998903"
"360","42.4099998903","42.4099998903","42.4099998903"
"361","42.4099998903","42.4099998903","42.4099998903"
"362","42.4099998903","42.4099998903","42.4099998903"
"363","42.4099998903","42.4099998903","42.4099998903"
"364","27.1799999475","27.1799999475","27.1799999475"
"365","27.1799999475","27.1799999475","27.1799999475"
"366","27.1799999475","27.1799999475","27.1799999475"
"367","27.1799999475","27.1799999475","27.1799999475"
"368","27.1799999475","27.1799999475","27.1799999475"
"369","27.1799999475","27.1799999475","27.1799999475"
"370","35.9099999405","35.9099999405","35.9099999405"
"371","35.9099999405","35.9099999405","35.9099999405"
"372","35.9099999405","35.9099999405","35.9099999405"
"373","35.9099999405","35.9099999405","35.9099999405"
"374","35.9099999405","35.9099999405","35.9099999405"
"375","35.9099999405","35.9099999405","35.9099999405"
"376","35.9099999405","35.9099999405","35.9099999405"
"377","27.8199998997","27.8199998997","27.8199998997"
"378","27.8199998997","27.8199998997","27.8199998997"
"379","27.8199998997","27.8199998997","27.8199998997"
"380","27.8199998997","27.8199998997","27.8199998997"
"381","27.8199998997","27.8199998997","27.8199998997"
"382","27.8199998997","27.8199998997","27.8199998997"
"383","29.6099999193","29.6099999193","29.6099999193"
"384","29.6099999193","29.6099999193","29.6099999193"
"385","29.6099999193","29.6099999193","29.6099999193"
"386","29.6099999193","29.6099999193","29.6099999193"
"387","29.6099999193","29.6099999193","29.6099999193"
"388","29.6099999193","29.6099999193","29.6099999193"
"389","29.6099999193","29.6099999193","29.6099999193"
"390","29.6099999193","29.6099999193","29.6099999193"
"391","29.6099999193","29.6099999193","29.6099999193"
"392","29.6099999193","29.6099999193","29.6099999193"
"393","148.1799995657","148.1799995657","148.1799995657"
"394","148.1799995657","148.1799995657","148.1799995657"
"395","148.1799995657","148.1799995657","148.1799995657"
"396","148.1799995657","148.1799995657","148.1799995657"
"397","148.1799995657","148.1799995657","148.1799995657"
"398","148.1799995657","148.1799995657","148.1799995657"
"399","148.1799995657","148.1799995657","148.1799995657"
"400","148.1799995657","148.1799995657","148.1799995657"
"401","148.1799995657","148.1799995657","148.1799995657"
"402","148.1799995657","148.1799995657","148.1799995657"
"403","148.1799995657","148.1799995657","148.1799995657"
"404","148.1799995657","148.1799995657","148.1799995657"
"405","148.2399973366","148.2399973366","148.2399973366"
"406","148.2399973366","148.2399973366","148.2399973366"
"407","5.8299999852","5.8299999852","5.8299999852"
"408","5.8299999852","5.8299999852","5.8299999852"
"409","5.8299999852","5.8299999852","5.8299999852"
"410","5.8299999852","5.8299999852","5.8299999852"
"411","5.8299999852","5.8299999852","5.8299999852"
"412","5.8299999852","5.8299999852","5.8299999852"
"413","5.8299999852","5.8299999852","5.8299999852"
"414","28.6499999594","28.6499999594","28.6499999594"
"415","28.6499999594","28.6499999594","28.6499999594"
"416","28.6499999594","28.6499999594","28.6499999594"
"417","28.6499999594","28.6499999594","28.6499999594"
"418","28.6499999594","28.6499999594","28.6499999594"
"419","28.6499999594","28.6499999594","28.6499999594"
"420","28.6499999594","28.6499999594","28.6499999594"
"421","28.6499999594","28.6499999594","28.6499999594"
"422","28.6499999594","28.6499999594","28.6499999594"
"423","28.6499999594","28.6499999594","28.6499999594"
"424","28.6499999594","28.6499999594","28.6499999594"
"425","28.6499999594","28.6499999594","28.6499999594"
"426","148.2399994824","148.2399994824","148.2399994824"
"427","148.2399994824","148.2399994824","148.2399994824"
"428","148.2399994824","148.2399994824","148.2399994824"
"429","148.2399994824","148.2399994824","148.2399994824"
"430","148.2399994824","148.2399994824","148.2399994824"
"431","148.2399994824","148.2399994824","148.2399994824"
"432","148.2399994824","148.2399994824","148.2399994824"
"433","148.2399994824","148.2399994824","148.2399994824"
"434","28.0199999437","28.0199999437","28.0199999437"
"435","28.0199999437","28.0199999437","28.0199999437"
"436","28.0199999437","28.0199999437","28.0199999437"
"437","28.0199999437","28.0199999437","28.0199999437"
"438","28.0199999437","28.0199999437","28.0199999437"
"439","28.0199999437","28.0199999437","28.0199999437"
"440","28.0199999437","28.0199999437","28.0199999437"
"441","28.0199999437","28.0199999437","28.0199999437"
"442","28.0199999437","28.0199999437","28.0199999437"
"443","28.0199999437","28.0199999437","28.0199999437"
"444","148.2200006787","148.2200006787","148.2200006787"
"445","148.2200006787","148.2200006787","148.2200006787"
"446","148.2200006787","148.2200006787","148.2200006787"
"447","148.2200006787","148.2200006787","148.2200006787"
"448","148.2200006787","148.2200006787","148.2200006787"
"449","148.2200006787","148.2200006787","148.2200006787"
"450","148.2200006787","148.2200006787","148.2200006787"
"451","148.2200006787","148.2200006787","148.2200006787"
"452","148.2200006787","148.2200006787","148.2200006787"
"453","148.2200006787","148.2200006787","148.2200006787"
"454","148.2200006787","148.2200006787","148.2200006787"
"455","148.2200006787","148.2200006787","148.2200006787"
