"Step","SAC_single_critic_short_test_track_LIDAR - loss_actor","SAC_single_critic_short_test_track_LIDAR - loss_actor__MIN","SAC_single_critic_short_test_track_LIDAR - loss_actor__MAX"
"111","-10.3656764174","-10.3656764174","-10.3656764174"
"112","-10.259983077","-10.259983077","-10.259983077"
"113","-10.0715402222","-10.0715402222","-10.0715402222"
"114","-10.0397016549","-10.0397016549","-10.0397016549"
"115","-10.0751050329","-10.0751050329","-10.0751050329"
"116","-10.0879663134","-10.0879663134","-10.0879663134"
"117","-10.0174967766","-10.0174967766","-10.0174967766"
"118","-9.9803972554","-9.9803972554","-9.9803972554"
"119","-10.044989233","-10.044989233","-10.044989233"
"120","-9.9946570444","-9.9946570444","-9.9946570444"
"121","-10.0935140038","-10.0935140038","-10.0935140038"
"122","-9.9903753662","-9.9903753662","-9.9903753662"
"123","-10.0356593609","-10.0356593609","-10.0356593609"
"124","-9.9619605207","-9.9619605207","-9.9619605207"
"125","-9.9652263975","-9.9652263975","-9.9652263975"
"126","-11.7092873859","-11.7092873859","-11.7092873859"
"127","-11.6538860273","-11.6538860273","-11.6538860273"
"128","-11.6085581303","-11.6085581303","-11.6085581303"
"129","-11.5756336784","-11.5756336784","-11.5756336784"
"130","-11.5758527565","-11.5758527565","-11.5758527565"
"131","-11.5030490112","-11.5030490112","-11.5030490112"
"132","-11.5693230772","-11.5693230772","-11.5693230772"
"133","-11.4861252928","-11.4861252928","-11.4861252928"
"134","-11.5535344982","-11.5535344982","-11.5535344982"
"135","-11.5323885822","-11.5323885822","-11.5323885822"
"136","-11.5979621315","-11.5979621315","-11.5979621315"
"137","-11.7004621792","-11.7004621792","-11.7004621792"
"138","-11.5247146749","-11.5247146749","-11.5247146749"
"139","-12.82534585","-12.82534585","-12.82534585"
"140","-12.7735163021","-12.7735163021","-12.7735163021"
"141","-12.6152875137","-12.6152875137","-12.6152875137"
"142","-12.6848264456","-12.6848264456","-12.6848264456"
"143","-12.5385664558","-12.5385664558","-12.5385664558"
"144","-12.6032123518","-12.6032123518","-12.6032123518"
"145","-12.5239476728","-12.5239476728","-12.5239476728"
"146","-12.4817521095","-12.4817521095","-12.4817521095"
"147","-12.5197385788","-12.5197385788","-12.5197385788"
"148","-12.4556439304","-12.4556439304","-12.4556439304"
"149","-12.4943811512","-12.4943811512","-12.4943811512"
"150","-12.4729525423","-12.4729525423","-12.4729525423"
"151","-12.5373008251","-12.5373008251","-12.5373008251"
"152","-12.4656154251","-12.4656154251","-12.4656154251"
"153","-12.5506037664","-12.5506037664","-12.5506037664"
"154","-12.4637580204","-12.4637580204","-12.4637580204"
"155","-13.6677547407","-13.6677547407","-13.6677547407"
"156","-13.8247714186","-13.8247714186","-13.8247714186"
"157","-13.6949935818","-13.6949935818","-13.6949935818"
"158","-13.6582292986","-13.6582292986","-13.6582292986"
"159","-13.6094337511","-13.6094337511","-13.6094337511"
"160","-13.499647994","-13.499647994","-13.499647994"
"161","-13.557927537","-13.557927537","-13.557927537"
"162","-13.395210886","-13.395210886","-13.395210886"
"163","-13.5940056038","-13.5940056038","-13.5940056038"
"164","-13.6300020409","-13.6300020409","-13.6300020409"
"165","-13.4380139017","-13.4380139017","-13.4380139017"
"166","-13.4671361542","-13.4671361542","-13.4671361542"
"167","-13.2789578056","-13.2789578056","-13.2789578056"
"168","-13.3427820253","-13.3427820253","-13.3427820253"
"169","-13.3139109755","-13.3139109755","-13.3139109755"
"170","-13.3090684414","-13.3090684414","-13.3090684414"
"171","-13.3042560673","-13.3042560673","-13.3042560673"
"172","-13.371176734","-13.371176734","-13.371176734"
"173","-13.162866168","-13.162866168","-13.162866168"
"174","-13.1965499592","-13.1965499592","-13.1965499592"
"175","-13.0843391943","-13.0843391943","-13.0843391943"
"176","-13.1901620865","-13.1901620865","-13.1901620865"
"177","-13.191773715","-13.191773715","-13.191773715"
"178","-13.0055918503","-13.0055918503","-13.0055918503"
"179","-13.2070339441","-13.2070339441","-13.2070339441"
"180","-13.2046895313","-13.2046895313","-13.2046895313"
"181","-13.9678610706","-13.9678610706","-13.9678610706"
"182","-13.8833134651","-13.8833134651","-13.8833134651"
"183","-14.0553543949","-14.0553543949","-14.0553543949"
"184","-13.9836784458","-13.9836784458","-13.9836784458"
"185","-14.0153163481","-14.0153163481","-14.0153163481"
"186","-13.957867012","-13.957867012","-13.957867012"
"187","-13.9791649055","-13.9791649055","-13.9791649055"
"188","-14.1143339157","-14.1143339157","-14.1143339157"
"189","-14.0761413479","-14.0761413479","-14.0761413479"
"190","-14.1668183804","-14.1668183804","-14.1668183804"
"191","-14.8742676115","-14.8742676115","-14.8742676115"
"192","-14.889629178","-14.889629178","-14.889629178"
"193","-14.7914762259","-14.7914762259","-14.7914762259"
"194","-14.8474175596","-14.8474175596","-14.8474175596"
"195","-14.859993453","-14.859993453","-14.859993453"
"196","-14.8639322615","-14.8639322615","-14.8639322615"
"197","-14.8640931463","-14.8640931463","-14.8640931463"
"198","-14.9464839602","-14.9464839602","-14.9464839602"
"199","-14.7282871819","-14.7282871819","-14.7282871819"
"200","-14.8642609358","-14.8642609358","-14.8642609358"
"201","-14.7168402386","-14.7168402386","-14.7168402386"
"202","-14.7605890751","-14.7605890751","-14.7605890751"
"203","-14.7238823795","-14.7238823795","-14.7238823795"
"204","-14.604816885","-14.604816885","-14.604816885"
"205","-14.7920404673","-14.7920404673","-14.7920404673"
"206","-14.8060204744","-14.8060204744","-14.8060204744"
"207","-14.6276721478","-14.6276721478","-14.6276721478"
"208","-14.6345453882","-14.6345453882","-14.6345453882"
"209","-14.8045405149","-14.8045405149","-14.8045405149"
"210","-14.8244888115","-14.8244888115","-14.8244888115"
"211","-14.6267994165","-14.6267994165","-14.6267994165"
"212","-14.4417481279","-14.4417481279","-14.4417481279"
"213","-14.5594374752","-14.5594374752","-14.5594374752"
"214","-14.5947332191","-14.5947332191","-14.5947332191"
"215","-14.6888489532","-14.6888489532","-14.6888489532"
"216","-14.7144985771","-14.7144985771","-14.7144985771"
"217","-14.5116767454","-14.5116767454","-14.5116767454"
"218","-14.4661912251","-14.4661912251","-14.4661912251"
"219","-14.4276974249","-14.4276974249","-14.4276974249"
"220","-14.3671907187","-14.3671907187","-14.3671907187"
"221","-14.5003182554","-14.5003182554","-14.5003182554"
"222","-14.4788650703","-14.4788650703","-14.4788650703"
"223","-14.5056533384","-14.5056533384","-14.5056533384"
"224","-14.2319432783","-14.2319432783","-14.2319432783"
"225","-14.6000541878","-14.6000541878","-14.6000541878"
"226","-14.4191411257","-14.4191411257","-14.4191411257"
"227","-14.5394359922","-14.5394359922","-14.5394359922"
"228","-14.554111619","-14.554111619","-14.554111619"
"229","-14.6214035273","-14.6214035273","-14.6214035273"
"230","-14.6450670862","-14.6450670862","-14.6450670862"
"231","-14.3347795296","-14.3347795296","-14.3347795296"
"232","-14.4255077791","-14.4255077791","-14.4255077791"
"233","-14.6789399052","-14.6789399052","-14.6789399052"
"234","-14.5217308283","-14.5217308283","-14.5217308283"
"235","-14.5184227657","-14.5184227657","-14.5184227657"
"236","-14.5466001987","-14.5466001987","-14.5466001987"
"237","-14.4266511679","-14.4266511679","-14.4266511679"
"238","-14.2406400204","-14.2406400204","-14.2406400204"
"239","-14.4158924961","-14.4158924961","-14.4158924961"
"240","-14.4114704418","-14.4114704418","-14.4114704418"
"241","-14.4554266977","-14.4554266977","-14.4554266977"
"242","-14.434166975","-14.434166975","-14.434166975"
"243","-14.313334856","-14.313334856","-14.313334856"
"244","-14.248230648","-14.248230648","-14.248230648"
"245","-14.3024433184","-14.3024433184","-14.3024433184"
"246","-14.1619032478","-14.1619032478","-14.1619032478"
"247","-14.3750435162","-14.3750435162","-14.3750435162"
"248","-14.3698296499","-14.3698296499","-14.3698296499"
"249","-14.4285741472","-14.4285741472","-14.4285741472"
"250","-14.2096043301","-14.2096043301","-14.2096043301"
"251","-14.2099935198","-14.2099935198","-14.2099935198"
"252","-14.2051606607","-14.2051606607","-14.2051606607"
