"Step","SAC_single_critic_short_test_track_LIDAR - loss_critic","SAC_single_critic_short_test_track_LIDAR - loss_critic__MIN","SAC_single_critic_short_test_track_LIDAR - loss_critic__MAX"
"166","1.6750176451","1.6750176451","1.6750176451"
"167","1.6132585141","1.6132585141","1.6132585141"
"168","1.7318078384","1.7318078384","1.7318078384"
"169","1.8891992706","1.8891992706","1.8891992706"
"170","1.3611178939","1.3611178939","1.3611178939"
"171","1.7133194754","1.7133194754","1.7133194754"
"172","1.623775313","1.623775313","1.623775313"
"173","1.7223598291","1.7223598291","1.7223598291"
"174","1.4765930191","1.4765930191","1.4765930191"
"175","1.4975365719","1.4975365719","1.4975365719"
"176","1.4808882286","1.4808882286","1.4808882286"
"177","1.4148009953","1.4148009953","1.4148009953"
"178","1.448527568","1.448527568","1.448527568"
"179","1.4715073125","1.4715073125","1.4715073125"
"180","1.771657607","1.771657607","1.771657607"
"181","1.6255459011","1.6255459011","1.6255459011"
"182","1.495613562","1.495613562","1.495613562"
"183","1.5351033074","1.5351033074","1.5351033074"
"184","1.4909815495","1.4909815495","1.4909815495"
"185","1.531857781","1.531857781","1.531857781"
"186","1.3772317097","1.3772317097","1.3772317097"
"187","1.3003498015","1.3003498015","1.3003498015"
"188","1.4088904853","1.4088904853","1.4088904853"
"189","1.4440724766","1.4440724766","1.4440724766"
"190","1.5268641092","1.5268641092","1.5268641092"
"191","1.3742186865","1.3742186865","1.3742186865"
"192","1.6155672143","1.6155672143","1.6155672143"
"193","1.6353192696","1.6353192696","1.6353192696"
"194","1.5856837055","1.5856837055","1.5856837055"
"195","1.6738228273","1.6738228273","1.6738228273"
"196","1.438081903","1.438081903","1.438081903"
"197","1.691523416","1.691523416","1.691523416"
"198","1.7499976778","1.7499976778","1.7499976778"
"199","1.5400346726","1.5400346726","1.5400346726"
"200","1.4977882595","1.4977882595","1.4977882595"
"201","1.6743189217","1.6743189217","1.6743189217"
"202","1.6913000792","1.6913000792","1.6913000792"
"203","1.6248875421","1.6248875421","1.6248875421"
"204","1.6265368989","1.6265368989","1.6265368989"
"205","1.3865478179","1.3865478179","1.3865478179"
"206","1.5908095586","1.5908095586","1.5908095586"
"207","1.3613358213","1.3613358213","1.3613358213"
"208","1.5970689493","1.5970689493","1.5970689493"
"209","1.4059185824","1.4059185824","1.4059185824"
"210","1.504919017","1.504919017","1.504919017"
"211","1.7615797734","1.7615797734","1.7615797734"
"212","1.478114282","1.478114282","1.478114282"
"213","1.381737441","1.381737441","1.381737441"
"214","1.4984638736","1.4984638736","1.4984638736"
"215","1.5224680027","1.5224680027","1.5224680027"
"216","1.4642796253","1.4642796253","1.4642796253"
"217","1.3390616871","1.3390616871","1.3390616871"
"218","1.4603637353","1.4603637353","1.4603637353"
"219","1.3657129765","1.3657129765","1.3657129765"
"220","1.3385285819","1.3385285819","1.3385285819"
"221","1.5499145555","1.5499145555","1.5499145555"
"222","1.4892950356","1.4892950356","1.4892950356"
"223","1.4430186178","1.4430186178","1.4430186178"
"224","1.5697270104","1.5697270104","1.5697270104"
"225","1.4314125207","1.4314125207","1.4314125207"
"226","1.4043245372","1.4043245372","1.4043245372"
"227","1.4495510465","1.4495510465","1.4495510465"
"228","1.3276276214","1.3276276214","1.3276276214"
"229","1.541109506","1.541109506","1.541109506"
"230","1.3594698745","1.3594698745","1.3594698745"
"231","1.2739336872","1.2739336872","1.2739336872"
"232","1.4394912849","1.4394912849","1.4394912849"
"233","1.5742911878","1.5742911878","1.5742911878"
"234","1.365764541","1.365764541","1.365764541"
"235","1.3220057932","1.3220057932","1.3220057932"
"236","1.3966153312","1.3966153312","1.3966153312"
"237","1.2266770415","1.2266770415","1.2266770415"
"238","1.3492594907","1.3492594907","1.3492594907"
"239","1.4144719175","1.4144719175","1.4144719175"
"240","1.3552687627","1.3552687627","1.3552687627"
"241","1.2267667876","1.2267667876","1.2267667876"
"242","1.3093470623","1.3093470623","1.3093470623"
"243","1.2818394405","1.2818394405","1.2818394405"
"244","1.3860242988","1.3860242988","1.3860242988"
"245","1.2462057814","1.2462057814","1.2462057814"
"246","1.2485784175","1.2485784175","1.2485784175"
"247","1.3312095407","1.3312095407","1.3312095407"
"248","1.3624220583","1.3624220583","1.3624220583"
"249","1.2066717584","1.2066717584","1.2066717584"
"250","1.2181717765","1.2181717765","1.2181717765"
"251","1.1821111511","1.1821111511","1.1821111511"
"252","1.2485147309","1.2485147309","1.2485147309"
"253","1.401991456","1.401991456","1.401991456"
"254","1.2834452523","1.2834452523","1.2834452523"
"255","1.1696694504","1.1696694504","1.1696694504"
"256","1.2694778034","1.2694778034","1.2694778034"
"257","1.1652197197","1.1652197197","1.1652197197"
"258","1.1836276549","1.1836276549","1.1836276549"
"259","1.116406737","1.116406737","1.116406737"
"260","1.2193692176","1.2193692176","1.2193692176"
"261","1.3301897463","1.3301897463","1.3301897463"
"262","1.3265000503","1.3265000503","1.3265000503"
"263","1.0298314989","1.0298314989","1.0298314989"
"264","1.1531770968","1.1531770968","1.1531770968"
"265","1.3829662591","1.3829662591","1.3829662591"
"266","1.2820890559","1.2820890559","1.2820890559"
"267","1.3416546312","1.3416546312","1.3416546312"
"268","1.3417622219","1.3417622219","1.3417622219"
"269","1.0950440826","1.0950440826","1.0950440826"
"270","1.2047634201","1.2047634201","1.2047634201"
"271","1.3037903203","1.3037903203","1.3037903203"
"272","1.1892060094","1.1892060094","1.1892060094"
"273","1.1898066817","1.1898066817","1.1898066817"
"274","0.9649914336","0.9649914336","0.9649914336"
"275","1.2538335069","1.2538335069","1.2538335069"
"276","1.32274615","1.32274615","1.32274615"
"277","1.223634302","1.223634302","1.223634302"
"278","0.9990667585","0.9990667585","0.9990667585"
"279","1.2982801339","1.2982801339","1.2982801339"
"280","1.0512851289","1.0512851289","1.0512851289"
"281","1.1843156907","1.1843156907","1.1843156907"
