"Step","SAC_Double_critic_lidar - loss_actor","SAC_Double_critic_lidar - loss_actor__MIN","SAC_Double_critic_lidar - loss_actor__MAX"
"142","4.2275363338","4.2275363338","4.2275363338"
"143","4.1760020864","4.1760020864","4.1760020864"
"144","4.1143975925","4.1143975925","4.1143975925"
"145","4.0811974871","4.0811974871","4.0811974871"
"146","4.0306543827","4.0306543827","4.0306543827"
"147","3.9822693515","3.9822693515","3.9822693515"
"148","3.9330072451","3.9330072451","3.9330072451"
"149","3.8985505247","3.8985505247","3.8985505247"
"150","3.8445053971","3.8445053971","3.8445053971"
"151","3.7984324813","3.7984324813","3.7984324813"
"152","3.782023077","3.782023077","3.782023077"
"153","3.7101637197","3.7101637197","3.7101637197"
"154","3.6794604802","3.6794604802","3.6794604802"
"155","3.6261202657","3.6261202657","3.6261202657"
"156","3.5781625283","3.5781625283","3.5781625283"
"157","3.5435098875","3.5435098875","3.5435098875"
"158","3.5054326177","3.5054326177","3.5054326177"
"159","3.4707088923","3.4707088923","3.4707088923"
"160","3.4213336051","3.4213336051","3.4213336051"
"161","3.379554956","3.379554956","3.379554956"
"162","3.3499629235","3.3499629235","3.3499629235"
"163","3.311689961","3.311689961","3.311689961"
"164","3.2788897908","3.2788897908","3.2788897908"
"165","3.2364581728","3.2364581728","3.2364581728"
"166","3.2104106331","3.2104106331","3.2104106331"
"167","3.1568766594","3.1568766594","3.1568766594"
"168","3.1289522016","3.1289522016","3.1289522016"
"169","3.0941594863","3.0941594863","3.0941594863"
"170","3.0555296147","3.0555296147","3.0555296147"
"171","3.0250510466","3.0250510466","3.0250510466"
"172","2.9879539096","2.9879539096","2.9879539096"
"173","2.9669026589","2.9669026589","2.9669026589"
"174","2.924415499","2.924415499","2.924415499"
"175","2.8940200341","2.8940200341","2.8940200341"
"176","2.8597577202","2.8597577202","2.8597577202"
"177","2.809749186","2.809749186","2.809749186"
"178","2.800173068","2.800173068","2.800173068"
"179","2.7667925572","2.7667925572","2.7667925572"
"180","2.7216731763","2.7216731763","2.7216731763"
"181","2.7015811193","2.7015811193","2.7015811193"
"182","2.6836687183","2.6836687183","2.6836687183"
"183","2.6427427936","2.6427427936","2.6427427936"
"184","2.6196857989","2.6196857989","2.6196857989"
"185","2.5887154341","2.5887154341","2.5887154341"
"186","2.5574679375","2.5574679375","2.5574679375"
"187","2.5366504169","2.5366504169","2.5366504169"
"188","2.5008724391","2.5008724391","2.5008724391"
"189","2.4690460145","2.4690460145","2.4690460145"
"190","2.456937964","2.456937964","2.456937964"
"191","2.4186477566","2.4186477566","2.4186477566"
"192","2.3921532393","2.3921532393","2.3921532393"
"193","2.3531522095","2.3531522095","2.3531522095"
"194","2.329647007","2.329647007","2.329647007"
"195","2.3097304845","2.3097304845","2.3097304845"
"196","2.2853890276","2.2853890276","2.2853890276"
"197","2.2618551135","2.2618551135","2.2618551135"
"198","2.2324565411","2.2324565411","2.2324565411"
"199","2.2115755582","2.2115755582","2.2115755582"
"200","2.186954307","2.186954307","2.186954307"
"201","2.1588405091","2.1588405091","2.1588405091"
"202","2.1461641628","2.1461641628","2.1461641628"
"203","2.1282345432","2.1282345432","2.1282345432"
"204","2.1018601245","2.1018601245","2.1018601245"
"205","2.082026825","2.082026825","2.082026825"
"206","2.0678194451","2.0678194451","2.0678194451"
"207","2.0446819168","2.0446819168","2.0446819168"
"208","2.0179561526","2.0179561526","2.0179561526"
"209","1.9926022661","1.9926022661","1.9926022661"
"210","1.97864353","1.97864353","1.97864353"
"211","1.9474270546","1.9474270546","1.9474270546"
"212","1.9365761888","1.9365761888","1.9365761888"
"213","1.9127996457","1.9127996457","1.9127996457"
"214","1.901634028","1.901634028","1.901634028"
"215","1.8737198967","1.8737198967","1.8737198967"
"216","1.85359173","1.85359173","1.85359173"
"217","1.8288146484","1.8288146484","1.8288146484"
"218","1.8078623825","1.8078623825","1.8078623825"
"219","1.7881524849","1.7881524849","1.7881524849"
"220","1.7740379965","1.7740379965","1.7740379965"
"221","1.752228753","1.752228753","1.752228753"
"222","1.7414054054","1.7414054054","1.7414054054"
"223","1.7298996001","1.7298996001","1.7298996001"
"224","1.7103297859","1.7103297859","1.7103297859"
"225","1.6882557684","1.6882557684","1.6882557684"
"226","1.6770805979","1.6770805979","1.6770805979"
"227","1.6477154797","1.6477154797","1.6477154797"
"228","1.628688432","1.628688432","1.628688432"
"229","1.608730678","1.608730678","1.608730678"
"230","1.5892770123","1.5892770123","1.5892770123"
"231","1.5808805329","1.5808805329","1.5808805329"
"232","1.5598071444","1.5598071444","1.5598071444"
"233","1.5443540311","1.5443540311","1.5443540311"
"234","1.5281107938","1.5281107938","1.5281107938"
"235","1.5191459531","1.5191459531","1.5191459531"
"236","1.4941443557","1.4941443557","1.4941443557"
"237","1.4861574692","1.4861574692","1.4861574692"
"238","1.4657616848","1.4657616848","1.4657616848"
"239","1.4489984661","1.4489984661","1.4489984661"
"240","1.4291238451","1.4291238451","1.4291238451"
"241","1.4220536917","1.4220536917","1.4220536917"
"242","1.4006416905","1.4006416905","1.4006416905"
"243","1.3873228186","1.3873228186","1.3873228186"
"244","1.3856668991","1.3856668991","1.3856668991"
"245","1.360794484","1.360794484","1.360794484"
"246","1.3483223569","1.3483223569","1.3483223569"
"247","1.3354277343","1.3354277343","1.3354277343"
"248","1.3203410047","1.3203410047","1.3203410047"
"249","1.3036634713","1.3036634713","1.3036634713"
"250","1.2868049109","1.2868049109","1.2868049109"
"251","1.2696854353","1.2696854353","1.2696854353"
"252","1.2639198554","1.2639198554","1.2639198554"
"253","1.238404752","1.238404752","1.238404752"
"254","1.2326627195","1.2326627195","1.2326627195"
"255","1.2163740641","1.2163740641","1.2163740641"
"256","1.2069225991","1.2069225991","1.2069225991"
"257","1.1918614858","1.1918614858","1.1918614858"
"258","1.1764695317","1.1764695317","1.1764695317"
"259","1.1673685187","1.1673685187","1.1673685187"
"260","1.1485082811","1.1485082811","1.1485082811"
"261","1.1367721012","1.1367721012","1.1367721012"
"262","1.1249498761","1.1249498761","1.1249498761"
"263","1.1136957738","1.1136957738","1.1136957738"
"264","1.1027723005","1.1027723005","1.1027723005"
"265","1.0919952083","1.0919952083","1.0919952083"
"266","1.0789369416","1.0789369416","1.0789369416"
"267","1.0675565669","1.0675565669","1.0675565669"
"268","1.050972949","1.050972949","1.050972949"
"269","1.0376487786","1.0376487786","1.0376487786"
"270","1.0292677361","1.0292677361","1.0292677361"
"271","1.014572235","1.014572235","1.014572235"
"272","1.0084597135","1.0084597135","1.0084597135"
"273","0.9983641997","0.9983641997","0.9983641997"
"274","0.9810489157","0.9810489157","0.9810489157"
"275","0.9713916603","0.9713916603","0.9713916603"
"276","0.9673312896","0.9673312896","0.9673312896"
"277","0.9481710896","0.9481710896","0.9481710896"
"278","0.9434977186","0.9434977186","0.9434977186"
"279","0.9374405673","0.9374405673","0.9374405673"
"280","0.9255935726","0.9255935726","0.9255935726"
"281","0.9060196671","0.9060196671","0.9060196671"
"282","0.9027683234","0.9027683234","0.9027683234"
"283","0.8897562355","0.8897562355","0.8897562355"
"284","0.8805109602","0.8805109602","0.8805109602"
"285","0.8755660066","0.8755660066","0.8755660066"
"286","0.8714315519","0.8714315519","0.8714315519"
"287","0.8574773201","0.8574773201","0.8574773201"
"288","0.8496192145","0.8496192145","0.8496192145"
"289","0.8452936283","0.8452936283","0.8452936283"
"290","0.8356419563","0.8356419563","0.8356419563"
"291","0.8285994038","0.8285994038","0.8285994038"
"292","0.8144216537","0.8144216537","0.8144216537"
"293","0.8084691826","0.8084691826","0.8084691826"
"294","0.799282659","0.799282659","0.799282659"
"295","0.7952688679","0.7952688679","0.7952688679"
"296","0.7814008924","0.7814008924","0.7814008924"
"297","0.7808030736","0.7808030736","0.7808030736"
"298","0.7727131537","0.7727131537","0.7727131537"
"299","0.759836998","0.759836998","0.759836998"
"300","0.7584706551","0.7584706551","0.7584706551"
"301","0.7427336216","0.7427336216","0.7427336216"
"302","0.7378614724","0.7378614724","0.7378614724"
"303","0.7313028234","0.7313028234","0.7313028234"
"304","0.7298863828","0.7298863828","0.7298863828"
"305","0.7191382575","0.7191382575","0.7191382575"
"306","0.7156654412","0.7156654412","0.7156654412"
"307","0.7096527201","0.7096527201","0.7096527201"
"308","0.6921129087","0.6921129087","0.6921129087"
"309","0.6903551808","0.6903551808","0.6903551808"
"310","0.6855790353","0.6855790353","0.6855790353"
"311","0.6752476507","0.6752476507","0.6752476507"
"312","0.6673744652","0.6673744652","0.6673744652"
"313","0.6706238064","0.6706238064","0.6706238064"
"314","0.6539240362","0.6539240362","0.6539240362"
"315","0.6489633715","0.6489633715","0.6489633715"
"316","0.6479728583","0.6479728583","0.6479728583"
"317","0.6440801623","0.6440801623","0.6440801623"
"318","0.6323456013","0.6323456013","0.6323456013"
"319","0.627314502","0.627314502","0.627314502"
"320","0.6187477247","0.6187477247","0.6187477247"
"321","0.6073616548","0.6073616548","0.6073616548"
"322","0.6070060062","0.6070060062","0.6070060062"
"323","0.5970286906","0.5970286906","0.5970286906"
"324","0.5920011823","0.5920011823","0.5920011823"
"325","0.5890630987","0.5890630987","0.5890630987"
"326","0.5847065729","0.5847065729","0.5847065729"
"327","0.57796303","0.57796303","0.57796303"
"328","0.5677424093","0.5677424093","0.5677424093"
"329","0.5631599724","0.5631599724","0.5631599724"
"330","0.5594969675","0.5594969675","0.5594969675"
"331","0.5570632584","0.5570632584","0.5570632584"
"332","0.5537002854","0.5537002854","0.5537002854"
"333","0.539040094","0.539040094","0.539040094"
"334","0.5370083153","0.5370083153","0.5370083153"
"335","0.5312036107","0.5312036107","0.5312036107"
"336","0.5263567339","0.5263567339","0.5263567339"
"337","0.5208603813","0.5208603813","0.5208603813"
"338","0.5271637231","0.5271637231","0.5271637231"
"339","0.5186329947","0.5186329947","0.5186329947"
"340","0.5024209318","0.5024209318","0.5024209318"
"341","0.5011441608","0.5011441608","0.5011441608"
"342","0.4953830892","0.4953830892","0.4953830892"
"343","0.4821803668","0.4821803668","0.4821803668"
"344","0.4881485859","0.4881485859","0.4881485859"
"345","0.4801153152","0.4801153152","0.4801153152"
"346","0.4815298624","0.4815298624","0.4815298624"
"347","0.4686745603","0.4686745603","0.4686745603"
"348","0.4724103178","0.4724103178","0.4724103178"
"349","0.4585154125","0.4585154125","0.4585154125"
"350","0.4500339904","0.4500339904","0.4500339904"
"351","0.4467868946","0.4467868946","0.4467868946"
"352","0.4422152105","0.4422152105","0.4422152105"
"353","0.4382555702","0.4382555702","0.4382555702"
"354","0.4489560468","0.4489560468","0.4489560468"
"355","0.4381688106","0.4381688106","0.4381688106"
"356","0.4365376627","0.4365376627","0.4365376627"
"357","0.446583824","0.446583824","0.446583824"
"358","0.4354963878","0.4354963878","0.4354963878"
"359","0.4349927282","0.4349927282","0.4349927282"
"360","0.4291330786","0.4291330786","0.4291330786"
"361","0.4315636632","0.4315636632","0.4315636632"
"362","0.4326148365","0.4326148365","0.4326148365"
"363","0.4289388324","0.4289388324","0.4289388324"
"364","0.4179321828","0.4179321828","0.4179321828"
"365","0.4257977033","0.4257977033","0.4257977033"
"366","0.4228851277","0.4228851277","0.4228851277"
"367","0.4203480873","0.4203480873","0.4203480873"
"368","0.4128155737","0.4128155737","0.4128155737"
"369","0.4123173951","0.4123173951","0.4123173951"
"370","0.4145740277","0.4145740277","0.4145740277"
"371","0.4203783242","0.4203783242","0.4203783242"
"372","0.4193866237","0.4193866237","0.4193866237"
"373","0.4151113375","0.4151113375","0.4151113375"
"374","0.413387765","0.413387765","0.413387765"
"375","0.4100563508","0.4100563508","0.4100563508"
"376","0.4130251831","0.4130251831","0.4130251831"
"377","0.4128219577","0.4128219577","0.4128219577"
"378","0.4052511708","0.4052511708","0.4052511708"
"379","0.4177965882","0.4177965882","0.4177965882"
"380","0.4161427653","0.4161427653","0.4161427653"
"381","0.4083453098","0.4083453098","0.4083453098"
"382","0.4181105146","0.4181105146","0.4181105146"
"383","0.4161594476","0.4161594476","0.4161594476"
"384","0.4090609023","0.4090609023","0.4090609023"
"385","0.4091219743","0.4091219743","0.4091219743"
"386","0.4202942424","0.4202942424","0.4202942424"
"387","0.4184668641","0.4184668641","0.4184668641"
"388","0.4243452711","0.4243452711","0.4243452711"
"389","0.4169265728","0.4169265728","0.4169265728"
"390","0.4127831426","0.4127831426","0.4127831426"
"391","0.4188534166","0.4188534166","0.4188534166"
"392","0.4091878717","0.4091878717","0.4091878717"
"393","0.4137637648","0.4137637648","0.4137637648"
"394","0.4168341972","0.4168341972","0.4168341972"
"395","0.412238391","0.412238391","0.412238391"
"396","0.419479515","0.419479515","0.419479515"
"397","0.4111793447","0.4111793447","0.4111793447"
"398","0.4153806549","0.4153806549","0.4153806549"
"399","0.4168764658","0.4168764658","0.4168764658"
"400","0.4269185564","0.4269185564","0.4269185564"
"401","0.4174971531","0.4174971531","0.4174971531"
"402","0.4219227305","0.4219227305","0.4219227305"
"403","0.4251853117","0.4251853117","0.4251853117"
"404","0.4179689224","0.4179689224","0.4179689224"
"405","0.4255430338","0.4255430338","0.4255430338"
"406","0.4248560676","0.4248560676","0.4248560676"
"407","0.4265465155","0.4265465155","0.4265465155"
"408","0.4291981536","0.4291981536","0.4291981536"
"409","0.4293147266","0.4293147266","0.4293147266"
"410","0.4325306785","0.4325306785","0.4325306785"
"411","0.4354188368","0.4354188368","0.4354188368"
"412","0.4311620657","0.4311620657","0.4311620657"
"413","0.4356706937","0.4356706937","0.4356706937"
"414","0.4404629023","0.4404629023","0.4404629023"
"415","0.4308688883","0.4308688883","0.4308688883"
"416","0.4282199502","0.4282199502","0.4282199502"
"417","0.4344017833","0.4344017833","0.4344017833"
"418","0.4270503305","0.4270503305","0.4270503305"
"419","0.4276779027","0.4276779027","0.4276779027"
"420","0.4276316464","0.4276316464","0.4276316464"
"421","0.4219236463","0.4219236463","0.4219236463"
"422","0.4287375231","0.4287375231","0.4287375231"
"423","0.4242361432","0.4242361432","0.4242361432"
"424","0.4292937182","0.4292937182","0.4292937182"
"425","0.4229671474","0.4229671474","0.4229671474"
"426","0.4265799479","0.4265799479","0.4265799479"
"427","0.4254007061","0.4254007061","0.4254007061"
"428","0.4236035754","0.4236035754","0.4236035754"
"429","0.4192924036","0.4192924036","0.4192924036"
"430","0.4176462872","0.4176462872","0.4176462872"
"431","0.4155476364","0.4155476364","0.4155476364"
"432","0.4158802363","0.4158802363","0.4158802363"
"433","0.4149900229","0.4149900229","0.4149900229"
"434","0.415899096","0.415899096","0.415899096"
"435","0.4154042491","0.4154042491","0.4154042491"
"436","0.4167458567","0.4167458567","0.4167458567"
"437","0.4163803187","0.4163803187","0.4163803187"
"438","0.4208553027","0.4208553027","0.4208553027"
"439","0.4164568976","0.4164568976","0.4164568976"
"440","0.4227739175","0.4227739175","0.4227739175"
"441","0.425551551","0.425551551","0.425551551"
"442","0.4223909017","0.4223909017","0.4223909017"
"443","0.4150319695","0.4150319695","0.4150319695"
"444","0.4172323589","0.4172323589","0.4172323589"
"445","0.4201797162","0.4201797162","0.4201797162"
"446","0.4187813421","0.4187813421","0.4187813421"
"447","0.4135031092","0.4135031092","0.4135031092"
"448","0.4059693359","0.4059693359","0.4059693359"
"449","0.4049021298","0.4049021298","0.4049021298"
"450","0.4037273681","0.4037273681","0.4037273681"
"451","0.400457422","0.400457422","0.400457422"
"452","0.40861378","0.40861378","0.40861378"
"453","0.4001266306","0.4001266306","0.4001266306"
"454","0.4035480258","0.4035480258","0.4035480258"
"455","0.3992697957","0.3992697957","0.3992697957"
"456","0.4019281684","0.4019281684","0.4019281684"
"457","0.3998830411","0.3998830411","0.3998830411"
"458","0.4017736973","0.4017736973","0.4017736973"
"459","0.3918616494","0.3918616494","0.3918616494"
"460","0.3992124368","0.3992124368","0.3992124368"
"461","0.396326904","0.396326904","0.396326904"
"462","0.3889469574","0.3889469574","0.3889469574"
"463","0.3834910533","0.3834910533","0.3834910533"
"464","0.3918816653","0.3918816653","0.3918816653"
"465","0.3882247369","0.3882247369","0.3882247369"
"466","0.38450581","0.38450581","0.38450581"
"467","0.3820818219","0.3820818219","0.3820818219"
"468","0.3908318467","0.3908318467","0.3908318467"
"469","0.3866324601","0.3866324601","0.3866324601"
"470","0.3773571187","0.3773571187","0.3773571187"
"471","0.3784005886","0.3784005886","0.3784005886"
"472","0.3697237007","0.3697237007","0.3697237007"
"473","0.3720895044","0.3720895044","0.3720895044"
"474","0.3630448827","0.3630448827","0.3630448827"
"475","0.363911155","0.363911155","0.363911155"
"476","0.3662812901","0.3662812901","0.3662812901"
"477","0.3644759754","0.3644759754","0.3644759754"
"478","0.3598644586","0.3598644586","0.3598644586"
"479","0.3574775974","0.3574775974","0.3574775974"
"480","0.3647695883","0.3647695883","0.3647695883"
"481","0.3574634589","0.3574634589","0.3574634589"
"482","0.3558428824","0.3558428824","0.3558428824"
"483","0.3519540071","0.3519540071","0.3519540071"
"484","0.3531255816","0.3531255816","0.3531255816"
"485","0.3526181755","0.3526181755","0.3526181755"
"486","0.349847139","0.349847139","0.349847139"
"487","0.3484277078","0.3484277078","0.3484277078"
