"Step","PPO_short_test_track_LIDAR - return_train","PPO_short_test_track_LIDAR - return_train__MIN","PPO_short_test_track_LIDAR - return_train__MAX"
"76","0.9699999839","0.9699999839","0.9699999839"
"77","0.9799999855","0.9799999855","0.9799999855"
"78","0.9899999853","0.9899999853","0.9899999853"
"79","1.0499999858","1.0499999858","1.0499999858"
"80","0.9699999895","0.9699999895","0.9699999895"
"81","1.0199999865","1.0199999865","1.0199999865"
"82","0.999999987","0.999999987","0.999999987"
"83","0.9899999909","0.9899999909","0.9899999909"
"84","0.9899999872","0.9899999872","0.9899999872"
"85","1.0199999865","1.0199999865","1.0199999865"
"86","0.9999999888","0.9999999888","0.9999999888"
"87","0.9999999832","0.9999999832","0.9999999832"
"88","0.9299999848","0.9299999848","0.9299999848"
"89","1.0199999865","1.0199999865","1.0199999865"
"90","1.0199999865","1.0199999865","1.0199999865"
"91","1.0099999905","1.0099999905","1.0099999905"
"92","0.999999987","0.999999987","0.999999987"
"93","1.0399999917","1.0399999917","1.0399999917"
"94","0.9699999914","0.9699999914","0.9699999914"
"95","1.0199999847","1.0199999847","1.0199999847"
"96","0.9599999879","0.9599999879","0.9599999879"
"97","0.989999989","0.989999989","0.989999989"
"98","1.0299999844","1.0299999844","1.0299999844"
"99","1.0299999882","1.0299999882","1.0299999882"
"100","0.9799999837","0.9799999837","0.9799999837"
"101","1.0199999847","1.0199999847","1.0199999847"
"102","1.0599999819","1.0599999819","1.0599999819"
"103","1.0299999863","1.0299999863","1.0299999863"
"104","0.9799999874","0.9799999874","0.9799999874"
"105","0.9999999832","0.9999999832","0.9999999832"
"106","1.0099999886","1.0099999886","1.0099999886"
"107","1.0099999923","1.0099999923","1.0099999923"
"108","1.0199999847","1.0199999847","1.0199999847"
"109","0.989999989","0.989999989","0.989999989"
"110","1.0299999863","1.0299999863","1.0299999863"
"111","0.9799999874","0.9799999874","0.9799999874"
"112","0.9299999885","0.9299999885","0.9299999885"
"113","0.9899999872","0.9899999872","0.9899999872"
"114","0.9599999879","0.9599999879","0.9599999879"
"115","1.0099999867","1.0099999867","1.0099999867"
"116","1.0599999856","1.0599999856","1.0599999856"
"117","1.0099999849","1.0099999849","1.0099999849"
"118","1.0299999882","1.0299999882","1.0299999882"
"119","0.9699999858","0.9699999858","0.9699999858"
"120","0.9899999816","0.9899999816","0.9899999816"
"121","1.0499999858","1.0499999858","1.0499999858"
"122","0.9299999811","0.9299999811","0.9299999811"
"123","1.0199999847","1.0199999847","1.0199999847"
"124","0.9899999853","0.9899999853","0.9899999853"
"125","0.9899999872","0.9899999872","0.9899999872"
"126","1.0499999877","1.0499999877","1.0499999877"
"127","0.9999999888","0.9999999888","0.9999999888"
"128","0.9499999825","0.9499999825","0.9499999825"
"129","0.9299999867","0.9299999867","0.9299999867"
"130","1.0199999921","1.0199999921","1.0199999921"
"131","0.9699999858","0.9699999858","0.9699999858"
"132","1.0399999861","1.0399999861","1.0399999861"
"133","0.9499999825","0.9499999825","0.9499999825"
"134","0.999999987","0.999999987","0.999999987"
"135","0.9399999883","0.9399999883","0.9399999883"
"136","1.0599999875","1.0599999875","1.0599999875"
"137","0.9599999841","0.9599999841","0.9599999841"
"138","0.999999987","0.999999987","0.999999987"
"139","0.999999987","0.999999987","0.999999987"
"140","0.9699999858","0.9699999858","0.9699999858"
"141","1.0199999847","1.0199999847","1.0199999847"
"142","1.0299999826","1.0299999826","1.0299999826"
"143","0.919999985","0.919999985","0.919999985"
"144","0.9999999907","0.9999999907","0.9999999907"
"145","1.0599999893","1.0599999893","1.0599999893"
"146","0.9399999883","0.9399999883","0.9399999883"
"147","0.9799999893","0.9799999893","0.9799999893"
"148","1.0099999886","1.0099999886","1.0099999886"
"149","0.9899999835","0.9899999835","0.9899999835"
"150","0.9499999844","0.9499999844","0.9499999844"
"151","1.0399999898","1.0399999898","1.0399999898"
"152","0.959999986","0.959999986","0.959999986"
"153","0.9999999907","0.9999999907","0.9999999907"
"154","1.0199999865","1.0199999865","1.0199999865"
"155","1.0499999877","1.0499999877","1.0499999877"
"156","0.9799999874","0.9799999874","0.9799999874"
"157","1.0199999847","1.0199999847","1.0199999847"
"158","0.9899999872","0.9899999872","0.9899999872"
"159","0.9699999839","0.9699999839","0.9699999839"
"160","0.9799999855","0.9799999855","0.9799999855"
"161","1.0199999828","1.0199999828","1.0199999828"
"162","0.9599999879","0.9599999879","0.9599999879"
"163","1.0299999882","1.0299999882","1.0299999882"
"164","0.9899999835","0.9899999835","0.9899999835"
"165","0.9699999895","0.9699999895","0.9699999895"
"166","0.9999999832","0.9999999832","0.9999999832"
"167","1.0599999856","1.0599999856","1.0599999856"
"168","0.9799999874","0.9799999874","0.9799999874"
"169","0.9499999899","0.9499999899","0.9499999899"
"170","0.9799999855","0.9799999855","0.9799999855"
"171","0.9699999858","0.9699999858","0.9699999858"
"172","0.9899999909","0.9899999909","0.9899999909"
"173","0.9699999858","0.9699999858","0.9699999858"
"174","0.9699999839","0.9699999839","0.9699999839"
"175","0.9899999872","0.9899999872","0.9899999872"
"176","0.9799999855","0.9799999855","0.9799999855"
"177","0.9999999851","0.9999999851","0.9999999851"
"178","0.9699999839","0.9699999839","0.9699999839"
"179","0.9999999888","0.9999999888","0.9999999888"
"180","0.9799999837","0.9799999837","0.9799999837"
"181","0.9999999888","0.9999999888","0.9999999888"
"182","0.9799999855","0.9799999855","0.9799999855"
"183","1.0599999912","1.0599999912","1.0599999912"
"184","0.9599999841","0.9599999841","0.9599999841"
"185","1.0099999886","1.0099999886","1.0099999886"
"186","0.9699999858","0.9699999858","0.9699999858"
"187","0.9899999853","0.9899999853","0.9899999853"
"188","1.0299999882","1.0299999882","1.0299999882"
"189","1.0099999793","1.0099999793","1.0099999793"
"190","0.9899999853","0.9899999853","0.9899999853"
"191","0.959999986","0.959999986","0.959999986"
"192","0.9399999827","0.9399999827","0.9399999827"
"193","0.9399999846","0.9399999846","0.9399999846"
"194","0.9599999897","0.9599999897","0.9599999897"
"195","0.9399999864","0.9399999864","0.9399999864"
"196","0.8999999855","0.8999999855","0.8999999855"
"197","0.9099999834","0.9099999834","0.9099999834"
"198","0.939999979","0.939999979","0.939999979"
"199","0.889999982","0.889999982","0.889999982"
"200","0.9999999832","0.9999999832","0.9999999832"
"201","0.9699999839","0.9699999839","0.9699999839"
"202","0.9099999815","0.9099999815","0.9099999815"
"203","0.9399999883","0.9399999883","0.9399999883"
"204","0.9199999832","0.9199999832","0.9199999832"
"205","0.9899999872","0.9899999872","0.9899999872"
"206","0.9399999846","0.9399999846","0.9399999846"
"207","0.9799999874","0.9799999874","0.9799999874"
"208","0.9999999907","0.9999999907","0.9999999907"
"209","0.959999986","0.959999986","0.959999986"
"210","0.9999999907","0.9999999907","0.9999999907"
"211","1.0599999819","1.0599999819","1.0599999819"
"212","1.009999983","1.009999983","1.009999983"
