"Step","PPO_short_test_track_LIDAR - loss_actor","PPO_short_test_track_LIDAR - loss_actor__MIN","PPO_short_test_track_LIDAR - loss_actor__MAX"
"118","-0.0034155784","-0.0034155784","-0.0034155784"
"119","0.0008096578","0.0008096578","0.0008096578"
"120","0.001157914","0.001157914","0.001157914"
"121","-0.0017592316","-0.0017592316","-0.0017592316"
"122","0.0006751169","0.0006751169","0.0006751169"
"123","-0.001200668","-0.001200668","-0.001200668"
"124","0.0033372602","0.0033372602","0.0033372602"
"125","-0.0032153028","-0.0032153028","-0.0032153028"
"126","0.0000876095","0.0000876095","0.0000876095"
"127","-0.0030527326","-0.0030527326","-0.0030527326"
"128","0.0046503465","0.0046503465","0.0046503465"
"129","-0.0027377751","-0.0027377751","-0.0027377751"
"130","-0.0018714666","-0.0018714666","-0.0018714666"
"131","0.0007691461","0.0007691461","0.0007691461"
"132","-0.0006367811","-0.0006367811","-0.0006367811"
"133","0.0009690378","0.0009690378","0.0009690378"
"134","0.0000228579","0.0000228579","0.0000228579"
"135","0.0009089705","0.0009089705","0.0009089705"
"136","-0.0015492927","-0.0015492927","-0.0015492927"
"137","0.003516333","0.003516333","0.003516333"
"138","-0.0043259553","-0.0043259553","-0.0043259553"
"139","0.0002796522","0.0002796522","0.0002796522"
"140","-0.0001357836","-0.0001357836","-0.0001357836"
"141","0.0023021499","0.0023021499","0.0023021499"
"142","-0.0053286084","-0.0053286084","-0.0053286084"
"143","0.001267209","0.001267209","0.001267209"
"144","0.001757338","0.001757338","0.001757338"
"145","-0.0006799495","-0.0006799495","-0.0006799495"
"146","0.0022187917","0.0022187917","0.0022187917"
"147","-0.0021823721","-0.0021823721","-0.0021823721"
"148","0.0008879203","0.0008879203","0.0008879203"
"149","-0.0000524174","-0.0000524174","-0.0000524174"
"150","-0.0016884891","-0.0016884891","-0.0016884891"
"151","0.0029997022","0.0029997022","0.0029997022"
"152","-0.0031811365","-0.0031811365","-0.0031811365"
"153","-0.0002041885","-0.0002041885","-0.0002041885"
"154","-0.0005453139","-0.0005453139","-0.0005453139"
"155","-0.000026811","-0.000026811","-0.000026811"
"156","-0.0014672839","-0.0014672839","-0.0014672839"
"157","0.0013370824","0.0013370824","0.0013370824"
"158","-0.0009666378","-0.0009666378","-0.0009666378"
"159","0.0019141388","0.0019141388","0.0019141388"
"160","-0.0003782719","-0.0003782719","-0.0003782719"
"161","-0.0009786063","-0.0009786063","-0.0009786063"
"162","-0.0002948864","-0.0002948864","-0.0002948864"
"163","0.0001855036","0.0001855036","0.0001855036"
"164","0.0026514602","0.0026514602","0.0026514602"
"165","-0.0030402889","-0.0030402889","-0.0030402889"
"166","-0.0005586304","-0.0005586304","-0.0005586304"
"167","0.0025218611","0.0025218611","0.0025218611"
"168","-0.0025678642","-0.0025678642","-0.0025678642"
"169","0.0001566543","0.0001566543","0.0001566543"
"170","-0.0004228595","-0.0004228595","-0.0004228595"
"171","0.0011836846","0.0011836846","0.0011836846"
"172","-0.0012325852","-0.0012325852","-0.0012325852"
"173","0.0002766331","0.0002766331","0.0002766331"
"174","-0.0009104342","-0.0009104342","-0.0009104342"
"175","0.0001286993","0.0001286993","0.0001286993"
"176","-0.0001587865","-0.0001587865","-0.0001587865"
"177","0.0016770673","0.0016770673","0.0016770673"
